"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"6月25日 GitHub 涨星榜，苹果居然没用 Docker，自己用 Swift 造了个更轻的原生容器，Mac 用户即装即用。

还有二十万星的成长型 AI 伙伴、一条命令克隆网站、一份订阅跑整支 AI 舰队。值得转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxP6nBFwYGUjajMzT4DCaAnOGIgbqQDtMWMfwpTDMbA","2026/06/25","8.59%","22.00秒",198,0,1,0,6,1,6,0,0,0
"转发这期魔力耳朵复盘给创业的朋友。五千万美金融来，一道双减文件，教培帝国一夜归零。死因是政策一刀切加账本早崩。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #双减 #财经","export/UzFfBgAAxJ2ncAMZTy7YjMzT4DCaIsWDMFmiT6FrR5k6eex6xg","2026/06/24","6.90%","20.05秒",319,0,0,1,0,0,0,0,0,0
"今天GitHub涨星王是AI视频工作室，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxOKnRCk4GzfYjMzT4DCaDSAtMDQS-zxusTkTsScEOQ","2026/06/24","-","0",0,0,0,0,0,0,0,0,0,0
"22亿美金烧出一片共享单车坟场。ofo小黄车死因写在账本上：单位经济为负还疯狂扩张250城，最后挪用押金崩盘。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #ofo #财经","export/UzFfBgAAxO2ncFhHISrZjMzT4DCa-MlGbZ6GvlJ05GBb7nPsZQ","2026/06/23","6.64%","27.68秒",587,0,2,1,1,3,1,0,0,0
"今天GitHub涨星王是AI视频工具，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxISnbB9eRxPZjMzT4DCagQlWAnWOyFNrAD8KULRx8g","2026/06/23","10.25%","16.17秒",244,0,1,0,10,3,10,0,0,0
"第25周GitHub周榜，AI项目占了一大半，13个项目里8个跟AI有关，转发给做开发的朋友别错过。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIGndHB4P3HejMzT4DCazKqPtxF4URPW9X4XGVEtuA","2026/06/22","10.71%","27.13秒",1970,5,24,4,62,18,62,0,0,0
"今日 6 个值得留意的开源项目。

#开源 #GitHub #AI #科技 #程序员","export/UzFfBgAAxJqnaEc-O37ejMzT4DCaYP_PhAeyODOftVerZ_ZuMg","2026/06/22","13.76%","24.51秒",4477,27,62,5,210,29,210,0,0,0
"转发给做开发的朋友，本期 GitHub 6 个项目都值得关注：抄大佬技能、网页变 app、短信自动转发。关注我，每天一份热门项目清单。

#GitHub #开源 #AI #科技 #程序员","export/UzFfBgAAxIWnTEkqMFXfjMzT4DCa6e0CNEOzPuBYxQjBa4VzXg","2026/06/21","10.64%","23.53秒",3504,13,42,2,170,10,170,0,0,0
"输入砍掉九成，AI 答案几乎一样。
今天 6 个 GitHub 热门项目，headroom 一天近四千星最猛。
还有 AI 帮剪视频、全球情报仪表盘、免费设计工具。
做开发的朋友，这几个工具转发给你看看，哪个性价比最高。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxPOnADkifBXdjMzT4DCal3VBzU2ryzD229LRTCrblw","2026/06/20","10.66%","22.21秒",3695,8,25,9,96,18,96,0,0,0
"终端复用器 tmux，让远程会话永不掉线。
client-server 架构，一个二进制身兼两职。
做后端的朋友用得上，转发给需要的开发者。

#GitHub #开源 #程序员 #科技 #终端","export/UzFfBgAAxOWnCE4dX1_djMzT4DCaZi4VPu4QDzZtjhiXz9bCrg","2026/06/19","3.52%","30.28秒",1137,7,6,0,16,2,16,0,0,0
