视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,175,84.5%,1.9%,2.9星,3.3星,2.9星,43.5%,23.1%,45.3%,1.9%,8.3%,1.5%,0,0%,0,1,0.6%,0,0%,0,0%,3,1.7%,0,0%,0,0%,22.6%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,850,80.8%,9.6%,4.7星,4.6星,4.7星,21.5%,25.3%,20.7%,21.4%,13.2%,23.6%,15,2.5%,0,36,4.2%,4,0.5%,0,0%,116,13.6%,2,0.2%,27,3.2%,48.8%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,76,84.7%,0.8%,2.1星,2星,2.3星,31.7%,40%,30%,9.1%,0%,10.9%,1,1.6%,0,5,6.6%,0,0%,0,0%,1,1.3%,0,0%,0,0%,28%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,241,76.5%,3.5%,4.4星,4.2星,4.4星,30.8%,10.8%,35.4%,5.8%,2.7%,6.4%,0,0%,0,3,1.2%,0,0%,0,0%,10,4.1%,0,0%,0,0%,63.9%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,184,78.5%,2.5%,4.1星,4.1星,4星,44.3%,30.4%,46.8%,14.3%,33.3%,9.8%,0,0%,0,8,4.3%,0,0%,0,0%,12,6.5%,2,1.1%,2,1.1%,64%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,476,91.4%,4.5%,4.2星,3.9星,4.2星,35.8%,28.6%,36.2%,12.6%,15%,11.8%,4,0.9%,0,12,2.5%,0,0%,0,0%,39,8.2%,0,0%,8,1.7%,43.1%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,357,75.1%,5.2%,4.8星,4.6星,4.7星,42.1%,25%,45.2%,13.9%,7.4%,16.2%,4,1.6%,0,15,4.2%,0,0%,0,0%,23,6.4%,2,0.6%,5,1.4%,38.5%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,300,82.8%,4.3%,3.8星,4.3星,3.9星,39.8%,20.6%,42.7%,6.8%,2.9%,7.8%,6,2.5%,0,5,1.7%,0,0%,0,0%,14,4.7%,0,0%,3,1%,66.6%
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,60,81.8%,0.9%,3星,2星,3.2星,20.4%,33.3%,18.4%,26.5%,25%,26.8%,0,0%,0,9,15%,0,0%,0,0%,3,5%,0,0%,1,1.7%,32.3%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,166,86.3%,1.9%,2.7星,2.6星,2.9星,62.5%,23.5%,67.4%,2%,8.3%,2.3%,0,0%,0,2,1.2%,0,0%,0,0%,2,1.2%,0,0%,0,0%,23.4%
