视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天GitHub上5个项目集体爆发，单日最高涨3375星！,2026年06月02日 12:41:33,1023,83.2%,5.5%,2.4星,3.2星,2.5星,25.3%,27.3%,24.9%,8.9%,5%,10.5%,37,4.7%,0,27,2.6%,1,<0.1%,0,0%,57,5.6%,0,0%,6,0.6%,59.1%
本周GitHub最热的14个开源项目,2026年06月01日 10:55:32,978,78.4%,6.3%,4星,4.6星,4星,34%,24.3%,36.6%,11.2%,5.5%,13.8%,13,2%,0,31,3.2%,7,0.7%,0,0%,60,6.1%,3,0.3%,7,0.7%,53.2%
6月1日GitHub涨星最快的6个项目,2026年06月01日 10:40:59,1.2万,97.4%,7.6%,2.6星,3.3星,2.7星,45.1%,43.3%,45.2%,30.3%,9%,29.5%,837,10.7%,0,1121,9.3%,7,<0.1%,1,<0.1%,2309,19.1%,107,0.9%,136,1.1%,63%
一行文字到成片，我让AI自己做了条短视频 | 开源项目 ClipForge 深度解析,2026年06月01日 10:24:37,432,70.8%,4.2%,2.9星,2.9星,3星,45.9%,36.3%,49.6%,5.9%,0.9%,9.7%,1,0.4%,0,11,2.5%,0,0%,0,0%,12,2.8%,0,0%,2,0.5%,42.1%
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,7538,97.5%,6.2%,4.4星,4.7星,4.4星,13.6%,38.8%,12.8%,10%,11.2%,10.3%,266,3.8%,0,231,3.1%,9,0.1%,0,0%,449,6%,31,0.4%,37,0.5%,46.8%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,1954,96.2%,2.8%,4.5星,4.6星,4.5星,14.9%,27.1%,14.3%,2.1%,0%,2.3%,2,0.1%,0,22,1.1%,10,0.5%,0,0%,5,0.3%,0,0%,3,0.2%,63.4%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,225,68.9%,2.5%,3.1星,3.4星,3星,50.2%,42.9%,53.6%,1.8%,1.5%,2.1%,0,0%,0,1,0.4%,0,0%,0,0%,2,0.9%,0,0%,1,0.4%,21%
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,1106,88.5%,4%,2.3星,2.8星,2.4星,32.3%,27.7%,32.9%,16.6%,8.9%,18.2%,37,3.9%,0,44,4%,0,0%,0,0%,111,10%,8,0.7%,20,1.8%,51%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,2760,93.7%,5.9%,4.4星,4.7星,4.4星,22.7%,32%,21.9%,11.6%,7%,12.8%,160,6.3%,0,93,3.4%,1,<0.1%,0,0%,191,6.9%,6,0.2%,30,1.1%,63.8%
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,608,78%,4.6%,3.7星,4.3星,3.7星,37.3%,37.6%,37.3%,7%,2.4%,9.1%,4,0.9%,0,13,2.1%,0,0%,0,0%,27,4.4%,0,0%,2,0.3%,31.9%
