视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,1341,85.2%,6.6%,4.2星,3.8星,4.2星,32.3%,30.1%,32.7%,14.4%,6.7%,15.5%,66,6.4%,0,52,3.9%,0,0%,0,0%,121,9%,3,0.2%,18,1.3%,62.4%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,319,80.6%,2.3%,4.3星,4.7星,4.2星,29.1%,25%,30%,1.6%,1.7%,2.1%,0,0%,1,3,0.9%,0,0%,0,0%,2,0.6%,0,0%,0,0%,45.4%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,3615,96.1%,5.2%,4.8星,4.6星,4.8星,16.9%,24.2%,16.6%,7.1%,8.9%,7.1%,30,0.9%,1,87,2.4%,1,<0.1%,0,0%,153,4.2%,5,0.1%,16,0.4%,44.1%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,442,76%,3.7%,3.6星,3.9星,3.6星,37.5%,34.7%,38.4%,8.3%,5.2%,10.2%,5,1.6%,0,9,2%,0,0%,0,0%,25,5.7%,0,0%,4,0.9%,57.6%
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,3750,89.3%,12.4%,4.7星,4.5星,4.7星,38.9%,30.7%,39.6%,25.6%,5.3%,27.5%,274,10.2%,1,270,7.2%,6,0.2%,0,0%,576,15.4%,41,1.1%,73,1.9%,53.6%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,102,61.3%,3.1%,4.4星,4.4星,4.3星,30.5%,29.4%,31.3%,4.3%,3.2%,6.7%,0,0%,0,2,2%,0,0%,0,0%,1,1%,0,0%,1,1%,18%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,287,76.7%,3.5%,4.3星,4.3星,4.3星,30%,17%,33.7%,7.6%,10%,8.3%,5,2.5%,0,6,2.1%,0,0%,0,0%,13,4.5%,0,0%,2,0.7%,58.5%
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,1240,92.2%,3.9%,4.1星,4.2星,4.1星,47.7%,29.2%,49%,13.9%,6.3%,14.4%,68,6%,0,51,4.1%,0,0%,0,0%,101,8.1%,2,0.2%,17,1.4%,48.3%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,402,74.9%,3.4%,4.3星,4.6星,4.1星,32.8%,30%,33.8%,5.3%,2.1%,7%,5,1.7%,0,7,1.7%,0,0%,0,0%,11,2.7%,0,0%,3,0.7%,63%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,219,72.1%,2.3%,3.6星,4.1星,3.4星,44%,43.1%,44.3%,3.6%,3.6%,4.8%,2,1.4%,0,5,2.3%,0,0%,0,0%,3,1.4%,0,0%,0,0%,18.7%
