视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6月4日GitHub热门项目来啦！,2026年06月04日 20:16:45,6713,83.5%,12.2%,4.2星,4.3星,4.3星,36.3%,32.8%,36.9%,33%,16.6%,28.2%,111,6.7%,0,652,9.7%,35,0.5%,0,0%,1259,18.8%,64,1%,125,1.9%,50.9%
AI输入砍掉95%答案不变！今天GitHub热榜5个项目个个能打,2026年06月05日 10:24:56,2324,88.4%,8.5%,4.7星,4.5星,4.7星,19.5%,31.3%,17.7%,11.7%,8.3%,11.1%,33,1.8%,0,82,3.5%,3,0.1%,0,0%,172,7.4%,2,<0.1%,23,1%,54%
6月3日涨星最快的6个项目，一个已经20万星了,2026年06月03日 10:55:04,2086,88.8%,7.2%,3.2星,3.4星,3.2星,25.3%,32.5%,24.2%,14.9%,9.7%,14.8%,101,6.1%,0,112,5.4%,3,0.1%,0,0%,178,8.5%,10,0.5%,11,0.5%,63%
二次元开源工具大盘点，收藏备用！,2026年06月03日 17:21:10,1295,87.3%,5%,4.1星,4.6星,4.1星,19.7%,27.7%,18.4%,15.7%,9.3%,14.4%,9,0.9%,0,54,4.2%,1,<0.1%,0,0%,136,10.5%,7,0.5%,9,0.7%,41.5%
54000 Star造假？揭秘RuView虚假开源项目,2026年06月04日 10:41:33,1176,84.3%,6.6%,4.3星,4.5星,4.3星,17.4%,27.6%,15.3%,3.5%,1.2%,3.9%,8,0.9%,0,21,1.8%,0,0%,0,0%,15,1.3%,0,0%,3,0.3%,34.3%
AI × 游戏开发生态,2026年06月02日 16:52:34,1165,89.1%,4.6%,4.5星,4.5星,4.5星,23.2%,34.6%,21.5%,12.2%,16.5%,11.4%,15,1.5%,0,40,3.4%,7,0.6%,0,0%,83,7.1%,2,0.2%,9,0.8%,31.6%
6月7日 GitHub 涨星最高的6个项目，AI占了一大半,2026年06月07日 11:44:05,970,-,-,3.8星,3.9星,3.7星,-,-,-,14.8%,-,-,-,-,-,42,4.3%,1,0.1%,0,0%,79,8.1%,4,0.4%,8,0.8%,-
6月6日 GitHub 热门项目盘点,2026年06月06日 09:26:37,967,69.7%,6.8%,3.6星,3.8星,3.5星,23%,24.8%,22.2%,8%,5.6%,9.6%,15,3.3%,1,19,2%,2,0.2%,0,0%,46,4.8%,6,0.6%,1,0.1%,56%
断网后电脑还能跑 AI、查百科、看地图、学课程,2026年06月06日 12:00:51,846,43.2%,5%,3.2星,3.3星,3.2星,34.2%,41.1%,23.9%,11.5%,5.4%,11.3%,1,1%,0,25,3%,1,0.1%,0,0%,64,7.6%,2,0.2%,6,0.7%,39.4%
48天近千星，一个数字人全链路框架凭什么？,2026年06月05日 18:58:59,726,74.4%,6.8%,3.9星,4.6星,3.9星,26.4%,26.9%,26.2%,14.6%,15.7%,15.2%,2,0.4%,0,16,2.2%,3,0.4%,0,0%,74,10.2%,2,0.3%,9,1.2%,41.2%
