"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"今天几个项目方向差别挺大。
浏览器造3D建筑、半年23万星的AI工具、微软AI治理都有。
非AI项目占了一半，跟平时不太一样。
转给做开发的朋友看看，你最看好哪个。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxLGgSGBsRzSPjMzT4DCaqnm-Cp30IIGL2vuUiINaPQ","2026/07/29","5.14%","9.99秒",253,4,6,0,11,1,11,0,0,0,,,,
"AI 能看视频了，今日 GitHub 六个项目杀入。

先看 claude-video，它让 AI 助手下载视频、抽帧、转录，反过来能看懂视频。
还有 airi，自托管 AI 伴侣，装在自己电脑，能陪你打游戏。
last30days 让 AI 跨平台帮你调研，GeoLibre 浏览器里做地图分析。

转发给做开发的朋友，看看哪个能用上。

#GitHub热门 #程序员 #开源 #AI #科技 ","export/UzFfBgAAxJygbCBuORCMjMzT4DCaDDbGeQ8Qst79gtSFr8iPKQ","2026/07/28","7.30%","35.82秒",630,3,9,0,26,5,26,0,0,0,,,,
"第31周 GitHub 周榜，14 个项目分四组。
AI 编程占一整组，涨幅王周涨近 1万6 千星。
转发给做开发的朋友，每周一起看开源。

#GitHub周榜 #程序员 #开源 #科技 #AI编程","export/UzFfBgAAxLagLAwsZgqNjMzT4DCalQlREDyQZhjs3nj33O7CFQ","2026/07/27","5.70%","20.52秒",2105,11,20,2,83,21,83,0,0,0,,,,
"AI做的设计同款字体同款渐变，全一个样。
impeccable用60条规则专治这种审美惰性。
还有Kronos读K线、superfile做终端美学。
buzz一天涨1705星是今日最高。
转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxLigBD4IT3ONjMzT4DCaxUS-DdG6AZA6gBdVdGMsAw","2026/07/27","6.34%","9.71秒",410,2,5,0,7,5,7,0,0,0,,,,
"今天 6 个项目都不靠云端。
bitchat 蓝牙 mesh 断网群聊，
buzz 单日 2491 星居榜首，
palmier-pro 本地 AI 剪视频，
harper 离线查语病，
阿里 open-code-review 开源，
Pumpkin 自建游戏服。
觉得有用，转发给做开发的朋友看看。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxI-gPDdCeEyCjMzT4DCaIcBzsFSMy_J0gV1H3d8bqg","2026/07/26","12.39%","18.62秒",1396,9,28,0,55,14,55,0,0,0,,,,
"80 多人团队，三个月，人均产出翻倍，AI 代码占比七成六。3 分钟 30 张图概览整套 AI 转型方法论，思想地基加六阶段落地，人是根本。转发给想用 AI 提效的朋友，合集 13 集每集深讲一个阶段。


1. 导读篇：3 分钟 30 张图概览整套方法论，三个数字（+104% / 76.6% / 80 人 3 个月）开场，一句话立意「人是根本」。合集入口。

2. E01 总纲：为什么 AI 提效转型，三个数字 + 一句话立意，整套方法论的起点。

3. E02 思想转变：AI 扩展谁的能力边界，两个极端别踩，思想地基先打牢。

4. E03 战略启动：目标量化 + 路线图 + 组织保障 + 风险预案，启动四件事缺一不可。

5. E04 全员赋能：选工具 + 全员培训到全覆盖 + 规范资产化，赋能三件事做到位。

6. E05 给 AI 装上眼睛和记忆：四件套基础设施，大代码库才需要，小团队可跳过。

7. E06 需求到交付一条命令：规范驱动 SDD 三产物 + 六阶段 devflow 编排，闭环的核心。

8. E07 防 AI 偷改测试：不让 AI 同时写代码和测试，全绿可能全错，质量防护。

9. E08 AI 代码占比怎么算：埋点 + 风格学 + 注册表三层识别，防伪造。

10. E09 Skill 范式整合：七种 Skill 范式各管一摊，写好关键在描述要具体。

11. E10 度量实操：跑 ai-metrics，真实团队的占比识别 + 成果数据怎么算。

12. E11 Skill 仓库实操：4 skill + 13 规范复制即用，组织资产怎么沉淀。

13. E12 汇报材料 AI 生成：5 类汇报 prompt + ppt-master 原生可编辑 PPT。

14. E13 AI 自动化测试实操：ai-test-frame 开箱跑，AI 只生成不执行根治虚假通过，合集收官。

","export/UzFfBgAAxJ2gDFVFIiaAjMzT4DCaiWs7HT2L_vOIGc74jw66ig","2026/07/25","1.36%","15.21秒",441,2,3,2,8,2,8,0,0,0,,,,
"AI 写测试最大的坑是虚假通过。跑通 ai-test-frame，AI 只生成不执行，运行期确定性执行，根治虚假通过。八个文件五个关键思想，通过两个失败零个。转发给做自动化测试的朋友，合集十三集收官。","export/UzFfBgAAxI6gJDMrdiKAjMzT4DCaoztri2Lzjlg-oWKKC0pO8g","2026/07/25","3.23%","29.07秒",341,3,4,0,7,3,7,0,0,0,,,,
"转型成果变成上级看得懂的 PPT 和报告。5 类汇报模板加 ppt-master，30 秒出活，原生可编辑。转发给正在做转型汇报的同事。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应：demos/report-templates（5 类汇报 prompt + ppt-master）

合集「AI 提效转型实战」共 13 集，播放列表见主页。上集 E11 讲 Skill 仓库实操（4 skill + 13 规范复制即用），下集 E13 讲 AI 自动化测试实操（ai-test-frame 录制转生成加软断言），点关注不走丢。
 

1. 五类汇报模板对应转型全周期：战略 PPT 立项要资源 → 计划书审批 → 周报跟踪 → 总结结项 → 度量证明提效。从立项到结项每一步都有对应模板。

2. 战略汇报 PPT 分两个版本，别用错阶段。启动版（阶段 1）靠现状痛点 + 目标承诺 + 试点计划立论，别编造翻倍这种验证数据——还没跑出来写了自己不信。成果版（阶段 5）才用实测数据。先确认你处于哪个阶段再选版本。

3. ppt-master 生成原生可编辑 PPT 是关键。DrawingML 结构，每个形状 / 文本框 / 图表 / 动画都是独立可编辑元素，PowerPoint 里能改每个细节。不是图片式 PPT 整张图不能改。开源一万六千星。

4. 5 分钟最小可走通：手头没真实数据也能先跑通。占位数据填进去（交付周期 28 天想压到 21 天之类），粘到免费 AI（Kimi / 通义千问），30 秒出一份结构齐全的战略汇报。先跑通流程，再补真实数据。

5. prompt 是资产，不绑定工具。这五个 prompt 包可以独立交付，换 AI 工具照样用，不绑定 Claude / ChatGPT / GLM 任何一个。","export/UzFfBgAAxJegHDgvCC-AjMzT4DCaNUhLl7r9xbFJmLqfHbVshg","2026/07/25","2.47%","11.79秒",364,1,2,0,10,0,10,0,0,0,,,,
"7月25日GitHub涨星最猛的5个项目
浏览器登录态直接交给AI编程助手
TypeScript大佬开源天天用的agent技能包
自托管建站连AI agent都能参与
AI自然语言查数据库连几十种
终端里好看的文件管理器
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxIagRGIhRymAjMzT4DCat5qfN3TPsSEsMtDVnjupew","2026/07/25","10.83%","20.27秒",959,1,10,1,50,6,50,0,0,0,,,,
"7月24日 GitHub 涨星最猛的 6 个项目
Block 开源人机协作工作空间 AI 同房干活
本地语法检查不联网
Rust 重写 Minecraft 服务器
代码自动画架构图
文字直接生成三维模型
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxLegdHZfb2aBjMzT4DCa-HciogrQ52tMjwmZNbxvAw","2026/07/24","9.60%","11.76秒",552,1,3,0,23,7,23,0,0,0,,,,
"7月23日 GitHub 涨星最猛的 6 个项目
开源 AI 网关一个接口接住 268 家服务商
全球情报仪表板涨幅再翻倍
一套 Rust 代码跑通三端
让大模型按格式输出
Linux 动态平铺桌面
免费临时域名邮箱能收发带附件
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxLegCAADY0-GjMzT4DCamFvFU87THEQ6_lIlxgfK9w","2026/07/23","-","0",0,0,0,0,0,0,0,0,0,0,,,,
"7月22日 GitHub 涨星最猛的 6 个项目
国内技术作者 AI Agent 书单日涨四千四百多星
给注意力分散开发者的编程技能
阿波罗十一号登月源码今天还在维护
全球情报仪表板一个界面看全球
安全传文件工具 croc
代码知识图谱 code-review-graph
转发给做开发的朋友，关注我下期见

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxL-gTGRsSTeEjMzT4DCaGbT8NkKJtLuQHZV6gageGA","2026/07/22","8.50%","17.61秒",824,4,9,0,28,7,28,0,0,0,,,,
"Kimi K3 两万八千亿参数开源。
编程榜 SWE-bench 九十三点四，独立验证。
API 价格只有闭源那家三分之一。
台积电当天跌百分之七。
开源还是闭源，格局变了。
转发给关注 AI 的朋友看看。

#AI大模型 #开源 #KimiK3 #人工智能 #科技","export/UzFfBgAAxJ2gVBM-NQaFjMzT4DCaBJHoBPP6zqaPzY4IcwOhKQ","2026/07/21","11.48%","20.44秒",540,0,2,2,2,3,2,0,0,0,,,,
"今天GitHub榜单跨圈了。

oblien/openship自托管部署平台Docker一拉就能跑，今日涨1719颗星；every-app/open-seo开源SEO分析工具免费查关键词流量，今日涨983；jamiepine/voicebox开源AI语音工作室能克隆声音、听写、创作语音，44.1K星今日涨839；微软官方的Ontology-Playground本体学习工具可视化设计知识图谱，今日涨487；开发者向两个jcode智能编程智能体框架今日涨612，霸榜code-review-graph又涨1876。

跨圈这6个项目，转发给做开发的朋友一起看看。

#GitHub #开源 #程序员 #科技 #编程 ","export/UzFfBgAAxLOgLCVoeR2FjMzT4DCaX__cQCVi6PqMdeOUGL43zw","2026/07/21","11.14%","18.62秒",2029,14,14,4,112,15,112,0,0,0,,,,
"第30周 GitHub 涨星王 OpenCut 单周破万星。
12 个项目跨创作、技能、AI 编程、AI 应用、AI 垂直五大领域。
OpenCut 开源视频剪辑工具，hallmark 去 AI 味设计技能。
openai/codex 终端编程，OfficeCLI 专为 AI 做的 Office 套件。
转发给做开发的朋友，下周一起看新榜单。

#GitHub热门 #开源 #程序员 #科技 #开源工具","export/UzFfBgAAxKSgDFMYRHO6jMzT4DCa7Z2otUH-iY7LZHY2MbgHQA","2026/07/20","8.11%","19.83秒",592,3,10,0,12,9,12,0,0,0,,,,
"今天GitHub榜单有点东西。

airllm单张4GB显存跑70B大模型推理，开发者用脚投票23.3K星；lingbot-map从视频流前馈一次重建三维场景，12.9K星今日涨827；ibelick/ui-skills把设计和前端捏成设计工程师新角色；apache背书的ossie做语义元数据标准；ai-engineering-from-scratch 39.1K星从零学AI工程；build-your-own-x再涨1131星霸榜。

低显存、3D重建、跨圈新角色，今天这几个项目，转发给做开发的朋友一起看看。

#GitHub #开源 #程序员 #科技 #编程","export/UzFfBgAAxKegZGUZWlC7jMzT4DCaR4TWzcAYKmXYC7o8oVs_6Q","2026/07/19","8.53%","20.99秒",1089,4,11,2,49,6,49,0,0,0,,,,
"E09 讲了 Skill 范式的七种方法论，这集把范式落地——一组适配 Claude Code 的 skill 加 rule 仓库，4 个核心 skill 加 13 条团队规范，整个复制到自己项目就能跑。

核心设计：skill 按需调用，rule 始终生效，AI 自动遵守——团队经验从「个人会用」变成「组织默认能力」。

你将学到
- 4 核心 skill（覆盖编排 / 工具 / 审查三类）：
  - devflow（编排型）：需求到交付 6 阶段流水线，调 OpenSpec + Superpowers，断点续传 + 规则覆盖
  - sql-query（工具型）：PostgreSQL 只读查询，三模式 + 安全护栏（只 SELECT / 走 SSH 隧道 / 强制租户隔离）
  - crud-gen（工具型）：读表结构自动生成分层增删改查代码（domain → controller 一套）
  - code-review（编排型）：AI 审查 + 红黄绿三级分级 + 自动套 rule 规范
- 13 规范 5 层：入口 team-conventions（CLAUDE.md 用 @ 引用所有 rule，AI 自动加载）/ 接口层（api-response、service-dao）/ 质量层（error-handling、logging、testing）/ 数据层（database、batch）/ 并发层（async、distributed-lock）/ 工程层（git-branch、naming）

合集
「AI 提效转型实战」共 13 集。上集（E10）讲了度量实操（跑 ai-metrics 看 AI 占比），这集回到沉淀复用的实操——把 E09 的七种范式落地成一组拿来即用的资产。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应教程：stage6.html（沉淀与复用）+ demos/claude-skills（4 skill + 13 规范）

#AI转型 #程序员 #ClaudeCode #企业级 #研发提效 #Skill仓库 #规范资产化","export/UzFfBgAAxImgRB0ONSy5jMzT4DCakMTzRtIW8EXR164yjmRc6w","2026/07/18","1.47%","17.75秒",543,4,2,2,9,3,9,0,0,0,,,,
