视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6月8日GitHub杀上来几个猛项目,2026年06月08日 20:00:55,1538,64%,6.6%,4.2星,4.8星,4.1星,22.4%,28.4%,18.9%,9.1%,10.1%,8.6%,31,3.2%,0,50,3.3%,1,<0.1%,0,0%,72,4.7%,6,0.4%,10,0.7%,58.1%
第24周 GitHub 周榜，19个项目杀入榜单，有个工具把AI输入砍掉九成,2026年06月08日 11:08:23,1641,66%,6.4%,4.2星,4.4星,4.1星,25.9%,32.4%,21.9%,14.9%,9.8%,18.2%,36,3.4%,1,72,4.4%,8,0.5%,0,0%,137,8.3%,6,0.4%,24,1.5%,54.2%
81K Star的开源项目，干了6年，你以为只是个文字识别？,2026年06月07日 21:28:15,4369,85.7%,7.5%,4.3星,4.7星,4.3星,22.8%,35.7%,20.2%,16.1%,14.9%,17%,103,2.8%,0,179,4.1%,1,<0.1%,1,<0.1%,452,10.3%,20,0.5%,50,1.1%,34.1%
6月7日 GitHub 涨星最高的6个项目，AI占了一大半,2026年06月07日 11:44:05,2089,73.5%,6.4%,3.8星,3.9星,3.7星,22.1%,25.1%,21%,14.7%,12.2%,16.3%,56,3.7%,0,87,4.2%,1,<0.1%,0,0%,188,9%,6,0.3%,26,1.2%,61.8%
断网后电脑还能跑 AI、查百科、看地图、学课程,2026年06月06日 12:00:51,1142,64.2%,5.2%,3.3星,3.5星,3.2星,26.6%,30.8%,24%,11.1%,6.9%,14%,11,1.5%,0,30,2.6%,1,<0.1%,0,0%,86,7.5%,2,0.2%,8,0.7%,41.1%
54000 Star造假？揭秘RuView虚假开源项目,2026年06月04日 10:41:33,1506,82.1%,3.5%,4.3星,4.5星,4.2星,19.5%,30.6%,16.4%,3.4%,1.5%,3.9%,14,1.1%,0,24,1.6%,0,0%,0,0%,19,1.3%,0,0%,8,0.5%,36.4%
6月4日GitHub热门项目来啦！,2026年06月04日 20:16:45,1.4万,93.1%,12.1%,4星,4.3星,4.1星,35.1%,33.6%,35.2%,28.8%,14.2%,30.5%,935,7.3%,1,1315,9.2%,54,0.4%,0,0%,2376,16.6%,152,1.1%,234,1.6%,48.9%
AI输入砍掉95%答案不变！今天GitHub热榜5个项目个个能打,2026年06月05日 10:24:56,3618,86.1%,6.1%,4.6星,4.5星,4.6星,21.2%,32.3%,18.9%,13.6%,10.4%,14.4%,81,2.6%,0,125,3.5%,10,0.3%,0,0%,301,8.3%,10,0.3%,45,1.2%,54.8%
48天近千星，一个数字人全链路框架凭什么？,2026年06月05日 18:58:59,1022,70.3%,3.8%,4星,4.6星,4星,25.3%,26.6%,24.7%,13.1%,9.8%,15%,7,1%,0,22,2.2%,3,0.3%,0,0%,96,9.4%,2,0.2%,12,1.2%,46.2%
6月6日 GitHub 热门项目盘点,2026年06月06日 09:26:37,1273,69.7%,4.4%,3.5星,3.8星,3.4星,21.1%,24.3%,19.6%,6.7%,3.7%,8.5%,28,3.2%,1,24,1.9%,2,0.2%,0,0%,49,3.8%,6,0.5%,4,0.3%,61.3%
