视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
740→1的求职工程：开源项目Career-Ops如何用提示词即代码重塑AI求职,2026年06月13日 17:26:46,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2.6%,1,0.9%,0,0%,1,0.9%,0,0%,1,0.9%,-
6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目,2026年06月13日 11:19:51,500,-,-,3.8星,3.8星,3.7星,-,-,-,3%,-,-,-,-,-,9,1.8%,1,0.2%,0,0%,10,2%,0,0%,0,0%,-
一个AI自己拍的视频，讲开源🔥 9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。,2026年06月12日 18:16:27,377,19.6%,1.9%,3.3星,3.4星,2.7星,52.5%,54.9%,42.9%,4.4%,4%,11.1%,0,0%,3,6,1.6%,0,0%,0,0%,10,2.7%,0,0%,0,0%,53.8%
【深度】企业AI培训：成本砍2.5万倍，旧打法为什么集体翻车？,2026年06月12日 13:34:24,380,27.4%,2.5%,2.2星,2.9星,2星,38.1%,44.9%,18.7%,4%,4.1%,2.7%,0,0%,0,3,0.8%,2,0.5%,0,0%,9,2.4%,0,0%,2,0.5%,26.3%
苹果做容器+AI技能生态爆发 | 6月12日GitHub热门项目：superpowers 22万星、agent-skills单日+3275,2026年06月12日 10:40:38,862,68.5%,3%,4星,3.8星,4.1星,22.1%,42%,12%,4.9%,5.6%,4.5%,2,0.4%,0,15,1.7%,1,0.1%,0,0%,24,2.8%,0,0%,1,0.1%,48.3%
6个GitHub项目，苹果居然自己做了个容器工具,2026年06月11日 11:50:17,823,48.7%,4.8%,3.6星,4.5星,3.5星,31.3%,35%,27.3%,5.8%,5.5%,5.8%,5,1.3%,0,17,2.1%,1,0.1%,0,0%,25,3%,2,0.2%,2,0.2%,57.5%
GitHub今日榜单诡异了，全是 AI 替人干活的项目 🔥,2026年06月10日 19:11:59,2084,69.3%,7.4%,4.7星,4.6星,4.6星,24.4%,36.1%,18.3%,12.6%,12.1%,13%,42,3%,1,73,3.5%,3,0.1%,0,0%,156,7.5%,2,<0.1%,28,1.3%,60.1%
【开源深度解析】Agent Reach — 多平台零成本打通，AI助手的万能钥匙（253 commits, MIT协议）,2026年06月09日 17:25:11,885,44.9%,5.8%,3.6星,3.9星,3.4星,34.9%,36.6%,32.6%,8.9%,7.2%,10.9%,8,2.1%,0,21,2.4%,3,0.3%,0,0%,49,5.5%,4,0.5%,3,0.3%,31%
6月9日GitHub热门项目盘点,2026年06月09日 09:22:23,1227,58.4%,5.9%,3.9星,4.6星,3.8星,31.2%,34.1%,29.1%,10.5%,9.2%,12.5%,26,3.7%,0,45,3.7%,2,0.2%,1,<0.1%,69,5.6%,4,0.3%,7,0.6%,62.1%
一个关于开源精神的故事：什么样的人会关注一个讲开源项目的频道？,2026年06月09日 09:14:18,496,52.8%,2.9%,2.1星,2.6星,2星,40.8%,43%,38.8%,7.3%,7%,7.4%,6,2.3%,0,20,4%,8,1.6%,0,0%,6,1.2%,2,0.4%,0,0%,40.1%
