视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,1360,89.2%,4.1%,4.2星,4.4星,4.1星,47.7%,29.2%,49%,13.8%,6.3%,14.4%,75,6.3%,0,59,4.3%,0,0%,0,0%,114,8.4%,2,0.1%,17,1.3%,48.8%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,438,73%,3.5%,4.3星,4.2星,4.3星,30%,17%,33.7%,7.6%,10%,8.3%,6,1.9%,0,7,1.6%,0,0%,0,0%,16,3.7%,0,0%,2,0.5%,64.4%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,135,58%,3.1%,4.3星,4.2星,4.3星,30.5%,29.4%,31.3%,4.3%,3.2%,6.7%,0,0%,0,2,1.5%,0,0%,0,0%,1,0.7%,0,0%,1,0.7%,18.2%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,345,74.1%,3.5%,4.4星,4星,4.5星,30.8%,10.8%,35.4%,5.8%,2.7%,6.4%,0,0%,0,4,1.2%,0,0%,0,0%,10,2.9%,0,0%,0,0%,67.9%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,90,77.3%,0.8%,2星,2星,2.3星,31.7%,40%,30%,9.1%,0%,10.9%,1,1.5%,0,5,5.6%,0,0%,0,0%,1,1.1%,0,0%,0,0%,26.6%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,378,81%,4.3%,3.9星,4.4星,4星,39.8%,20.6%,42.7%,6.8%,2.9%,7.8%,6,2%,0,5,1.3%,0,0%,0,0%,15,4%,0,0%,3,0.8%,70.3%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,180,82%,1.9%,2.5星,2.3星,2.8星,62.5%,23.5%,67.4%,2%,8.3%,2.3%,0,0%,0,2,1.1%,0,0%,0,0%,3,1.7%,0,0%,0,0%,25.7%
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,217,78.8%,1.9%,3.1星,3星,3.2星,43.5%,23.1%,45.3%,1.9%,8.3%,1.5%,0,0%,0,1,0.5%,0,0%,0,0%,4,1.8%,0,0%,0,0%,25.6%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,1774,75.3%,9.6%,4.7星,4.7星,4.7星,21.5%,25.3%,20.7%,21.4%,13.2%,23.6%,38,2.9%,0,109,6.1%,5,0.3%,0,0%,303,17.1%,9,0.5%,62,3.5%,48.1%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,296,69.1%,2.5%,3.8星,3.4星,3.9星,44.3%,30.4%,46.8%,14.3%,33.3%,9.8%,0,0%,0,14,4.7%,0,0%,0,0%,26,8.8%,2,0.7%,4,1.4%,63.4%
