视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,1220,86.3%,2%,2.4星,2.7星,2.5星,32.9%,33.2%,32.8%,16.2%,8.8%,18.1%,43,4.1%,0,48,3.9%,0,0%,0,0%,121,9.9%,10,0.8%,24,2%,53.3%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,271,62.8%,1.5%,3.3星,3.4星,3.2星,50.6%,45.3%,53.6%,1.5%,1.1%,1.9%,1,0.6%,0,1,0.4%,0,0%,0,0%,2,0.7%,0,0%,1,0.4%,22%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,2234,94.3%,1.8%,4.5星,4.7星,4.5星,15.2%,28%,14.2%,2%,0.9%,2.3%,3,0.1%,0,24,1.1%,11,0.5%,0,0%,5,0.2%,0,0%,3,0.1%,64.2%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,2151,85.2%,4%,4.1星,3.8星,4.1星,36.5%,30.1%,37.5%,16.9%,7.4%,18.5%,170,10%,0,100,4.6%,0,0%,0,0%,237,11%,11,0.5%,30,1.4%,62.1%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,391,71.5%,1.7%,4.4星,4.7星,4.3星,29.5%,26.2%,30.6%,1.4%,1.2%,2%,1,0.4%,1,3,0.8%,0,0%,0,0%,2,0.5%,0,0%,0,0%,46.8%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,632,71.5%,3.9%,4.6星,4.5星,4.5星,32.8%,30%,33.8%,5.3%,2.1%,7%,6,1.4%,0,13,2.1%,0,0%,0,0%,17,2.7%,0,0%,6,0.9%,65.2%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,286,64.4%,2.9%,3.6星,3.8星,3.4星,44%,43.1%,44.3%,3.4%,3.6%,4.8%,2,1.1%,0,6,2.1%,0,0%,0,0%,5,1.7%,0,0%,1,0.3%,22.6%
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,7845,89.9%,12.1%,4.7星,4.7星,4.7星,40%,34.2%,40.5%,27.1%,5.5%,28.2%,708,10.4%,1,582,7.4%,46,0.6%,0,0%,1237,15.8%,102,1.3%,153,2%,52.8%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,673,68.5%,3.5%,3.8星,3.9星,3.8星,38.2%,34.4%,39.5%,7.8%,4.3%,10.6%,5,1.1%,0,15,2.2%,0,0%,0,0%,34,5.1%,2,0.3%,5,0.7%,58.6%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,4357,93.6%,3.8%,4.8星,4.6星,4.8星,17.3%,26.1%,16.8%,7.4%,12.6%,7.6%,39,1%,2,108,2.5%,1,<0.1%,0,0%,187,4.3%,7,0.2%,22,0.5%,45.1%
