视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,72,75.7%,0.9%,3.4星,3.6星,3.5星,20.4%,33.3%,18.4%,26.5%,25%,26.8%,0,0%,0,9,12.5%,0,0%,0,0%,3,4.2%,0,0%,2,2.8%,30.4%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,527,66.3%,5.2%,4.8星,4.7星,4.7星,42.1%,25%,45.2%,13.9%,7.4%,16.2%,5,1.5%,0,19,3.6%,0,0%,0,0%,35,6.6%,2,0.4%,5,0.9%,38.2%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,602,85.1%,4.5%,4.3星,4.2星,4.3星,35.8%,28.6%,36.2%,12.6%,15%,11.8%,5,1%,0,17,2.8%,0,0%,0,0%,45,7.5%,0,0%,12,2%,44.5%
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,1101,81%,8.6%,4.5星,4.6星,4.4星,46.9%,38.5%,47.7%,10.7%,6.3%,11.3%,21,2.4%,0,25,2.3%,2,0.2%,0,0%,62,5.6%,4,0.4%,23,2.1%,63%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,160,87.4%,1%,2.1星,2.4星,2.2星,58.1%,50%,58.5%,4.4%,0%,4.7%,0,0%,0,5,3.1%,0,0%,0,0%,2,1.3%,0,0%,0,0%,22.6%
62%的企业试了AI Agent，但规模化不到10%——中间藏着一个万亿级机会,2026年05月18日 09:00:33,171,77.1%,3.3%,3.7星,4.2星,3.4星,53.3%,50%,53.6%,2.3%,0%,2.6%,0,0%,0,2,1.2%,0,0%,0,0%,3,1.8%,0,0%,0,0%,23.6%
今天 GitHub 一天涨了将近 1700 颗星的是什么项目？,2026年05月18日 12:11:13,395,74.9%,7.9%,3.5星,3.6星,3.5星,41.8%,32.1%,43.4%,5.8%,0%,6.8%,5,1.7%,0,6,1.5%,0,0%,0,0%,11,2.8%,0,0%,1,0.3%,65.3%
本周 GitHub 榜单上，AI 智能体项目占了七成！superpowers 快二十万星，skills 近九万星，agentmemory 给 AI 加记忆。,2026年05月18日 13:07:58,1720,93.3%,8.8%,4.4星,3.7星,4.4星,52.3%,50%,52.3%,15.9%,0%,16.9%,133,8.4%,0,86,5%,0,0%,0,0%,171,9.9%,10,0.6%,35,2%,47.9%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,255,68.1%,6.9%,3.7星,3.9星,3.4星,50.3%,57.1%,49.3%,9.5%,21.1%,10.5%,1,0.6%,0,10,3.9%,0,0%,0,0%,11,4.3%,0,0%,3,1.2%,58.3%
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,1024,71.7%,12.1%,3.4星,3.6星,3.3星,37.1%,21.7%,39.5%,10.4%,9.5%,12.4%,22,3%,0,26,2.5%,2,0.2%,0,0%,62,6.1%,0,0%,9,0.9%,63.3%
