视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
二次元开源工具大盘点，收藏备用！,2026年06月03日 17:21:10,3891,83.2%,7.8%,4.2星,4.7星,4.2星,33.2%,36.8%,32.5%,28.4%,21.1%,28.9%,88,2.9%,0,342,8.8%,18,0.5%,0,0%,678,17.4%,45,1.2%,33,0.8%,35.9%
6月3日涨星最快的6个项目，一个已经20万星了,2026年06月03日 10:55:04,2858,85.7%,4.8%,3.2星,3.4星,3.3星,33.1%,30.8%,33.5%,16.5%,8.2%,18.4%,199,8.2%,0,175,6.1%,3,0.1%,0,0%,262,9.2%,12,0.4%,20,0.7%,62.9%
AI × 游戏开发生态,2026年06月02日 16:52:34,1328,85.2%,2.6%,4.4星,4.4星,4.4星,27%,40.8%,23.5%,13.3%,17.9%,12.8%,24,2.1%,0,51,3.8%,7,0.5%,0,0%,102,7.7%,6,0.5%,11,0.8%,32%
今天GitHub上5个项目集体爆发，单日最高涨3375星！,2026年06月02日 12:41:33,1386,80.1%,3.3%,2.5星,3.2星,2.6星,25.3%,27.4%,24.8%,8.4%,3.7%,10%,53,4.8%,0,35,2.5%,1,<0.1%,0,0%,71,5.1%,2,0.1%,7,0.5%,62%
本周GitHub最热的14个开源项目,2026年06月01日 10:55:32,1272,69.6%,4.5%,4星,4.7星,3.9星,32.2%,25.5%,35.3%,11.8%,6.6%,14.7%,26,3%,0,42,3.3%,7,0.6%,0,0%,83,6.5%,6,0.5%,12,0.9%,53.3%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,3027,91.7%,3.2%,4.4星,4.7星,4.4星,24%,33.4%,22.9%,11.6%,5.8%,12.8%,175,6.4%,0,102,3.4%,1,<0.1%,0,0%,210,6.9%,6,0.2%,34,1.1%,63.8%
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,722,72%,2.6%,3.7星,4.1星,3.7星,39%,40.1%,38.5%,6%,1.5%,8.1%,5,1%,0,14,1.9%,0,0%,0,0%,27,3.7%,0,0%,2,0.3%,31.9%
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,8890,96.2%,4.1%,4.4星,4.7星,4.4星,14.7%,38.6%,13.4%,9.8%,9.6%,10.1%,314,3.7%,0,264,3%,9,0.1%,0,0%,514,5.8%,36,0.4%,49,0.6%,46.8%
一行文字到成片，我让AI自己做了条短视频 | 开源项目 ClipForge 深度解析,2026年06月01日 10:24:37,673,62.4%,3.2%,3.1星,3.4星,3.1星,46.3%,42.6%,48.5%,5.2%,1.2%,8.8%,4,1%,0,16,2.4%,0,0%,0,0%,17,2.5%,0,0%,2,0.3%,47.8%
6月1日GitHub涨星最快的6个项目,2026年06月01日 10:40:59,2.9万,98.1%,6.6%,2.6星,3星,2.7星,45.8%,44.5%,45.8%,30.3%,9.3%,31%,3247,11.5%,0,2902,9.7%,29,<0.1%,3,<0.1%,5495,18.4%,321,1.1%,300,1%,63%
