视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6月1日GitHub涨星最快的6个项目,2026年06月01日 10:40:59,3.3万,98.1%,6.8%,2.6星,3.1星,2.7星,45.8%,44.3%,45.8%,30.3%,9%,31%,3741,11.7%,0,3325,9.9%,35,0.1%,3,<0.1%,6189,18.4%,359,1.1%,336,1%,63%
一行文字到成片，我让AI自己做了条短视频 | 开源项目 ClipForge 深度解析,2026年06月01日 10:24:37,725,62.2%,3.3%,3.1星,3.4星,3.1星,46.8%,43.2%,49%,5.3%,1.2%,8.5%,5,1.1%,0,16,2.2%,0,0%,0,0%,19,2.6%,0,0%,3,0.4%,47.7%
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,9496,95.9%,4.4%,4.4星,4.7星,4.4星,14.7%,38.6%,13.4%,10%,9.6%,10.1%,336,3.8%,0,288,3%,11,0.1%,0,0%,572,6%,43,0.5%,51,0.5%,46.7%
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,755,71.6%,2.6%,3.7星,4.1星,3.7星,39%,40.1%,38.5%,6%,1.5%,8.1%,7,1.3%,0,14,1.9%,0,0%,0,0%,27,3.6%,0,0%,3,0.4%,32.3%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,3099,90.8%,3.2%,4.4星,4.7星,4.4星,24%,33.4%,22.9%,11.6%,5.8%,12.8%,179,6.4%,0,106,3.4%,1,<0.1%,0,0%,211,6.8%,8,0.3%,36,1.2%,63.7%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,421,70.2%,1.7%,4.4星,4.7星,4.3星,29.5%,26.2%,30.6%,1.4%,1.2%,2%,1,0.3%,1,3,0.7%,0,0%,0,0%,3,0.7%,0,0%,0,0%,47.2%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,2530,86%,4%,4.1星,3.8星,4.1星,36.5%,30.1%,37.5%,16.9%,7.4%,18.5%,237,11.4%,0,133,5.3%,0,0%,0,0%,303,12%,17,0.7%,40,1.6%,61.4%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,2439,93.4%,1.8%,4.5星,4.8星,4.5星,15.2%,28%,14.2%,2%,0.9%,2.3%,3,0.1%,0,28,1.1%,11,0.5%,0,0%,5,0.2%,0,0%,3,0.1%,63.4%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,283,61.8%,1.5%,3.2星,3.3星,3.2星,50.6%,45.3%,53.6%,1.5%,1.1%,1.9%,1,0.6%,0,1,0.4%,0,0%,0,0%,2,0.7%,0,0%,1,0.4%,22%
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,1242,85.8%,2%,2.4星,2.7星,2.5星,32.9%,33.2%,32.8%,16.2%,8.8%,18.1%,45,4.2%,0,48,3.9%,0,0%,0,0%,123,9.9%,10,0.8%,24,1.9%,53.5%
