视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,1097,69.7%,12.1%,3.4星,3.5星,3.3星,37.1%,21.7%,39.5%,10.4%,9.5%,12.4%,23,3%,0,28,2.6%,2,0.2%,0,0%,71,6.5%,0,0%,10,0.9%,63.4%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,268,66.2%,6.9%,4星,4.3星,3.5星,50.3%,57.1%,49.3%,9.5%,21.1%,10.5%,1,0.6%,0,10,3.7%,0,0%,0,0%,14,5.2%,0,0%,3,1.1%,56.8%
本周 GitHub 榜单上，AI 智能体项目占了七成！superpowers 快二十万星，skills 近九万星，agentmemory 给 AI 加记忆。,2026年05月18日 13:07:58,1762,92.7%,8.8%,4.3星,3.7星,4.4星,52.3%,50%,52.3%,15.9%,0%,16.9%,137,8.4%,0,87,4.9%,0,0%,0,0%,179,10.2%,10,0.6%,35,2%,48%
今天 GitHub 一天涨了将近 1700 颗星的是什么项目？,2026年05月18日 12:11:13,404,72.7%,7.9%,3.5星,3.6星,3.4星,41.8%,32.1%,43.4%,5.8%,0%,6.8%,5,1.7%,0,6,1.5%,0,0%,0,0%,11,2.7%,0,0%,1,0.2%,64.8%
62%的企业试了AI Agent，但规模化不到10%——中间藏着一个万亿级机会,2026年05月18日 09:00:33,174,75.3%,3.3%,3.6星,4星,3.4星,53.3%,50%,53.6%,2.3%,0%,2.6%,0,0%,0,2,1.1%,0,0%,0,0%,3,1.7%,0,0%,0,0%,23.1%
注意了 ⚠️ 今天 GitHub 上这几个项目涨星特别猛,2026年05月15日 11:20:23,275,77.8%,0%,4.1星,4.8星,3.8星,52.1%,100%,51.7%,3.7%,0%,3.8%,0,0%,0,3,1.1%,0,0%,0,0%,4,1.5%,0,0%,0,0%,75.4%
很多人不知道，GitHub 上有个项目，用 WiFi 信号就能实现空间感知，不需要摄像头。还有一个 19 万星的智能体,2026年05月16日 09:02:29,556,80.7%,3.8%,4.9星,4.5星,4.9星,39.5%,40%,39.5%,4%,0%,4.4%,1,0.2%,1,13,2.3%,0,0%,0,0%,22,4%,0,0%,1,0.2%,41.4%
今天 GitHub 八个项目涨星最猛，AI 工具直接霸榜了,2026年05月17日 09:44:45,291,81%,4.6%,3.2星,2.7星,3.4星,53.8%,14.3%,55.5%,2.4%,0%,2.6%,1,0.4%,0,4,1.4%,0,0%,0,0%,5,1.7%,0,0%,0,0%,71.6%
本周 GitHub 涨星最猛的 15 个开源项目，AI 直接霸榜了,2026年05月17日 09:52:25,283,78.5%,5.6%,4.6星,3.8星,4.7星,42.3%,28.6%,42.8%,3.7%,14.3%,4%,2,0.9%,0,6,2.1%,0,0%,0,0%,7,2.5%,0,0%,0,0%,51.5%
8.3万亿市场，大厂不愿碰，3亿老人在等你,2026年05月17日 21:26:30,40,30.8%,3.1%,4.4星,4.3星,2星,30.8%,33.3%,28.6%,25%,0%,40%,0,0%,0,2,5%,0,0%,0,0%,1,2.5%,0,0%,0,0%,27.1%
