视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,341,64%,2.5%,3.8星,3.4星,4星,44.3%,30.4%,46.8%,14.3%,33.3%,9.8%,0,0%,0,15,4.4%,0,0%,0,0%,31,9.1%,2,0.6%,4,1.2%,63.6%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,2076,74.9%,9.6%,4.7星,4.7星,4.7星,21.5%,25.3%,20.7%,21.4%,13.2%,23.6%,47,3.1%,0,130,6.3%,5,0.2%,0,0%,373,18%,13,0.6%,73,3.5%,47.8%
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,228,76.2%,1.9%,3.2星,3.1星,3.3星,43.5%,23.1%,45.3%,1.9%,8.3%,1.5%,0,0%,0,2,0.9%,0,0%,0,0%,6,2.6%,2,0.9%,0,0%,25.3%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,187,80.5%,1.9%,2.7星,2.5星,3星,62.5%,23.5%,67.4%,2%,8.3%,2.3%,0,0%,0,2,1.1%,0,0%,0,0%,4,2.1%,0,0%,0,0%,26.1%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,401,77.7%,4.3%,3.9星,4.4星,4星,39.8%,20.6%,42.7%,6.8%,2.9%,7.8%,6,2%,0,5,1.2%,0,0%,0,0%,15,3.7%,0,0%,3,0.7%,70.3%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,165,86.5%,1%,2.1星,2.4星,2.2星,58.1%,50%,58.5%,4.4%,0%,4.7%,0,0%,0,5,3%,0,0%,0,0%,2,1.2%,0,0%,0,0%,21.2%
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,1138,80.2%,8.6%,4.5星,4.5星,4.4星,46.9%,38.5%,47.7%,10.7%,6.3%,11.3%,21,2.3%,0,26,2.3%,2,0.2%,0,0%,65,5.7%,4,0.4%,23,2%,63.3%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,665,82.9%,4.5%,4.2星,4.3星,4.2星,35.8%,28.6%,36.2%,12.6%,15%,11.8%,6,1.1%,0,17,2.6%,0,0%,0,0%,49,7.4%,0,0%,13,2%,45.5%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,722,66.3%,5.2%,4.7星,4.7星,4.7星,42.1%,25%,45.2%,13.9%,7.4%,16.2%,9,2%,0,24,3.3%,0,0%,0,0%,50,6.9%,2,0.3%,5,0.7%,37.1%
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,82,71.8%,0.9%,3.7星,4.5星,3.4星,20.4%,33.3%,18.4%,26.5%,25%,26.8%,0,0%,0,9,11%,0,0%,0,0%,4,4.9%,0,0%,2,2.4%,28.4%
