视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6月16日GitHub榜单 AI agent占了4个 NVIDIA亲自下场 +1079星最猛,2026年06月16日 12:47:20,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8.8%,0,0%,0,0%,2,2.5%,0,0%,0,0%,-
6月15日GitHub Trending：SkillSpector今日+962·AI审AI反直觉居首,2026年06月15日 14:58:41,895,46.5%,3.1%,4星,4.2星,3.9星,35.7%,44.4%,24.3%,0%,8%,8.9%,4,1.7%,0,21,2.3%,3,0.3%,0,0%,44,4.9%,2,0.2%,5,0.6%,44.2%
【第24周周榜】13项目4组分档，6个AI技能集体上榜，markitdown 15.3万星封王,2026年06月15日 10:21:19,1180,62.3%,4.5%,4.5星,4.6星,4.5星,22.7%,34.1%,15.3%,0%,11.5%,12%,10,1.5%,0,41,3.5%,1,<0.1%,0,0%,85,7.2%,6,0.5%,9,0.8%,46.1%
6月14日GitHub Trending：6个猛项目盘点，AI Agent占一半，还有工具把大模型推理延迟砍掉一大半,2026年06月14日 13:20:53,1704,58.4%,6.7%,4.4星,4.6星,4.2星,31.6%,37.1%,27.8%,12.7%,12.2%,14.7%,25,2.9%,0,73,4.3%,2,0.1%,0,0%,140,8.2%,12,0.7%,16,0.9%,61.4%
上线4天就下架，国产GLM-5.2同日开源,2026年06月13日 23:15:22,1850,64.7%,7%,4.8星,4.7星,4.8星,31.1%,37.6%,27.1%,1.8%,3.6%,0.9%,1,<0.1%,1,20,1.1%,0,0%,0,0%,12,0.6%,0,0%,2,0.1%,37.9%
740→1的求职工程：开源项目Career-Ops如何用提示词即代码重塑AI求职,2026年06月13日 17:26:46,559,44.7%,3.4%,3星,3.5星,2.7星,41.7%,44.7%,37.7%,8.5%,6%,10.9%,2,0.8%,0,10,1.8%,1,0.2%,0,0%,26,4.7%,0,0%,8,1.4%,27.1%
6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目,2026年06月13日 11:19:51,1062,58.8%,4.6%,3.6星,3.7星,3.6星,25.7%,35.4%,18.3%,4.5%,3.5%,6.1%,8,1.3%,0,18,1.7%,1,<0.1%,0,0%,32,3%,0,0%,1,<0.1%,57.3%
一个AI自己拍的视频，讲开源🔥 9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。,2026年06月12日 18:16:27,460,26.2%,3.7%,3.2星,3.5星,2.5星,43.6%,45.2%,38.7%,3.9%,3%,6.8%,0,0%,3,7,1.5%,0,0%,0,0%,11,2.4%,0,0%,0,0%,55.9%
【深度】企业AI培训：成本砍2.5万倍，旧打法为什么集体翻车？,2026年06月12日 13:34:24,457,33.9%,3.3%,2.3星,2.9星,2星,34.7%,38.3%,27.2%,4.4%,5.1%,3.3%,0,0%,0,5,1.1%,2,0.4%,0,0%,9,2%,0,0%,3,0.7%,27.7%
苹果做容器+AI技能生态爆发 | 6月12日GitHub热门项目：superpowers 22万星、agent-skills单日+3275,2026年06月12日 10:40:38,975,66.3%,3.6%,4星,3.8星,4.1星,22.9%,37.6%,15%,4.5%,4.7%,4.5%,4,0.6%,0,16,1.6%,1,0.1%,0,0%,24,2.5%,0,0%,1,0.1%,49.7%
