视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6月6日 GitHub 热门项目盘点,2026年06月06日 09:26:37,1299,68.9%,4%,3.5星,3.8星,3.4星,21.4%,24.1%,20.1%,6.6%,3.5%,8.4%,31,3.5%,1,24,1.8%,2,0.2%,0,0%,50,3.8%,6,0.5%,4,0.3%,61.5%
48天近千星，一个数字人全链路框架凭什么？,2026年06月05日 18:58:59,1106,70.2%,3.7%,4.1星,4.7星,4星,24.6%,26.5%,23.8%,13.6%,10.5%,15.4%,10,1.3%,0,25,2.3%,3,0.3%,0,0%,110,9.9%,4,0.4%,15,1.4%,46.9%
AI输入砍掉95%答案不变！今天GitHub热榜5个项目个个能打,2026年06月05日 10:24:56,3966,85.4%,6%,4.6星,4.6星,4.6星,21.2%,31.8%,19%,13.5%,10.9%,14.4%,89,2.7%,0,135,3.4%,10,0.3%,0,0%,326,8.2%,14,0.4%,48,1.2%,55.1%
6月4日GitHub热门项目来啦！,2026年06月04日 20:16:45,1.5万,93%,12.2%,4星,4.4星,4.1星,34.8%,32.9%,34.9%,28.5%,14.8%,30%,1040,7.2%,2,1439,9%,58,0.4%,0,0%,2600,16.3%,167,1%,249,1.6%,49%
54000 Star造假？揭秘RuView虚假开源项目,2026年06月04日 10:41:33,1599,82.3%,3.2%,4.3星,4.5星,4.2星,19.5%,30.6%,16.3%,3.4%,1.4%,3.9%,15,1.1%,0,25,1.6%,0,0%,0,0%,19,1.2%,0,0%,9,0.6%,37.4%
本周GitHub最热的14个开源项目,2026年06月01日 10:55:32,1340,68.6%,4.6%,4星,4.7星,3.9星,32.5%,26.1%,35.6%,12.1%,7.8%,14.9%,28,3.1%,0,45,3.4%,7,0.5%,0,0%,91,6.8%,6,0.4%,12,0.9%,53.2%
今天GitHub上5个项目集体爆发，单日最高涨3375星！,2026年06月02日 12:41:33,1464,79.3%,3.3%,2.6星,3.2星,2.6星,25.1%,26.6%,24.6%,8.6%,3.8%,10.2%,56,4.9%,0,39,2.7%,1,<0.1%,0,0%,74,5.1%,4,0.3%,7,0.5%,61.9%
AI × 游戏开发生态,2026年06月02日 16:52:34,1400,83.9%,2.7%,4.4星,4.3星,4.4星,27.3%,40.7%,23.8%,13.8%,18.6%,13.2%,24,2.1%,0,57,4.1%,8,0.6%,0,0%,116,8.3%,6,0.4%,11,0.8%,31.7%
6月3日涨星最快的6个项目，一个已经20万星了,2026年06月03日 10:55:04,2991,85.3%,4.5%,3.2星,3.3星,3.3星,33.1%,30.4%,33.5%,16.8%,8%,18.9%,209,8.3%,0,182,6.1%,3,0.1%,0,0%,282,9.4%,14,0.5%,21,0.7%,62.8%
二次元开源工具大盘点，收藏备用！,2026年06月03日 17:21:10,4936,84.8%,8.2%,4.2星,4.7星,4.2星,34.9%,37.1%,34.5%,29.8%,23.3%,31.9%,128,3.2%,0,461,9.3%,20,0.4%,0,0%,911,18.5%,63,1.3%,36,0.7%,35.2%
