视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
6个GitHub项目，苹果居然自己做了个容器工具,2026年06月11日 11:50:17,902,48.1%,4.8%,3.6星,4.5星,3.5星,31.5%,34.6%,28.1%,5.6%,5.4%,6.3%,5,1.2%,0,18,2%,1,0.1%,0,0%,29,3.2%,2,0.2%,2,0.2%,58%
GitHub今日榜单诡异了，全是 AI 替人干活的项目 🔥,2026年06月10日 19:11:59,2306,67.7%,7.6%,4.6星,4.6星,4.6星,24.8%,34.9%,19.2%,12.6%,12.3%,13.6%,48,3.1%,1,81,3.5%,3,0.1%,0,0%,179,7.8%,4,0.2%,30,1.3%,59.9%
【开源深度解析】Agent Reach — 多平台零成本打通，AI助手的万能钥匙（253 commits, MIT协议）,2026年06月09日 17:25:11,951,45.2%,5.5%,3.6星,3.9星,3.4星,33.9%,35.3%,32.1%,8.8%,7.1%,11.2%,8,1.9%,0,22,2.3%,3,0.3%,0,0%,51,5.4%,6,0.6%,4,0.4%,32.1%
6月9日GitHub热门项目盘点,2026年06月09日 09:22:23,1291,57.9%,5.5%,3.9星,4.6星,3.8星,31.1%,33.1%,29.6%,10.5%,9.6%,12.4%,29,3.9%,0,48,3.7%,2,0.2%,1,<0.1%,75,5.8%,4,0.3%,7,0.5%,62.3%
一个关于开源精神的故事：什么样的人会关注一个讲开源项目的频道？,2026年06月09日 09:14:18,532,52.5%,2.7%,2.1星,2.6星,2星,39.9%,41.4%,38.5%,6.9%,6.4%,7.2%,9,3.3%,0,20,3.8%,8,1.5%,0,0%,6,1.1%,2,0.4%,0,0%,40.6%
断网后电脑还能跑 AI、查百科、看地图、学课程,2026年06月06日 12:00:51,1176,63.4%,4.8%,3.3星,3.6星,3.2星,26.6%,30.4%,24%,11.2%,7%,14.1%,11,1.5%,0,31,2.6%,1,<0.1%,0,0%,90,7.7%,2,0.2%,9,0.8%,41.5%
6月7日 GitHub 涨星最高的6个项目，AI占了一大半,2026年06月07日 11:44:05,2196,72.3%,6.2%,3.8星,3.9星,3.7星,22.5%,25.5%,21.3%,14.7%,12.1%,16.6%,58,3.7%,0,92,4.2%,1,<0.1%,0,0%,198,9%,6,0.3%,26,1.2%,62.1%
81K Star的开源项目，干了6年，你以为只是个文字识别？,2026年06月07日 21:28:15,4732,85.2%,7.4%,4.3星,4.7星,4.3星,23.7%,35.7%,21.2%,16.4%,15.3%,17.8%,115,2.9%,0,196,4.1%,1,<0.1%,1,<0.1%,515,10.9%,22,0.5%,57,1.2%,34.1%
第24周 GitHub 周榜，19个项目杀入榜单，有个工具把AI输入砍掉九成,2026年06月08日 11:08:23,1901,66.4%,6.3%,4.2星,4.4星,4.1星,27.7%,31.6%,25.6%,15.6%,11.9%,19.7%,50,4%,1,84,4.4%,8,0.4%,0,0%,173,9.1%,10,0.5%,30,1.6%,54.5%
6月8日GitHub杀上来几个猛项目,2026年06月08日 20:00:55,1589,63.1%,6.2%,4.2星,4.8星,4.1星,22.5%,27.3%,19.6%,9%,9.8%,8.6%,31,3.1%,0,51,3.2%,1,<0.1%,0,0%,73,4.6%,6,0.4%,10,0.6%,58.3%
