"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"第30周 GitHub 涨星王 OpenCut 单周破万星。
12 个项目跨创作、技能、AI 编程、AI 应用、AI 垂直五大领域。
OpenCut 开源视频剪辑工具，hallmark 去 AI 味设计技能。
openai/codex 终端编程，OfficeCLI 专为 AI 做的 Office 套件。
转发给做开发的朋友，下周一起看新榜单。

#GitHub热门 #开源 #程序员 #科技 #开源工具","export/UzFfBgAAxKSgDFMYRHO6jMzT4DCa7Z2otUH-iY7LZHY2MbgHQA","2026/07/20","-","0",0,0,0,0,0,0,0,0,0,0,,,,
"今天GitHub榜单有点东西。

airllm单张4GB显存跑70B大模型推理，开发者用脚投票23.3K星；lingbot-map从视频流前馈一次重建三维场景，12.9K星今日涨827；ibelick/ui-skills把设计和前端捏成设计工程师新角色；apache背书的ossie做语义元数据标准；ai-engineering-from-scratch 39.1K星从零学AI工程；build-your-own-x再涨1131星霸榜。

低显存、3D重建、跨圈新角色，今天这几个项目，转发给做开发的朋友一起看看。

#GitHub #开源 #程序员 #科技 #编程","export/UzFfBgAAxKegZGUZWlC7jMzT4DCaR4TWzcAYKmXYC7o8oVs_6Q","2026/07/19","6.33%","15.98秒",695,3,8,0,39,6,39,0,0,0,,,,
"E09 讲了 Skill 范式的七种方法论，这集把范式落地——一组适配 Claude Code 的 skill 加 rule 仓库，4 个核心 skill 加 13 条团队规范，整个复制到自己项目就能跑。

核心设计：skill 按需调用，rule 始终生效，AI 自动遵守——团队经验从「个人会用」变成「组织默认能力」。

你将学到
- 4 核心 skill（覆盖编排 / 工具 / 审查三类）：
  - devflow（编排型）：需求到交付 6 阶段流水线，调 OpenSpec + Superpowers，断点续传 + 规则覆盖
  - sql-query（工具型）：PostgreSQL 只读查询，三模式 + 安全护栏（只 SELECT / 走 SSH 隧道 / 强制租户隔离）
  - crud-gen（工具型）：读表结构自动生成分层增删改查代码（domain → controller 一套）
  - code-review（编排型）：AI 审查 + 红黄绿三级分级 + 自动套 rule 规范
- 13 规范 5 层：入口 team-conventions（CLAUDE.md 用 @ 引用所有 rule，AI 自动加载）/ 接口层（api-response、service-dao）/ 质量层（error-handling、logging、testing）/ 数据层（database、batch）/ 并发层（async、distributed-lock）/ 工程层（git-branch、naming）

合集
「AI 提效转型实战」共 13 集。上集（E10）讲了度量实操（跑 ai-metrics 看 AI 占比），这集回到沉淀复用的实操——把 E09 的七种范式落地成一组拿来即用的资产。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应教程：stage6.html（沉淀与复用）+ demos/claude-skills（4 skill + 13 规范）

#AI转型 #程序员 #ClaudeCode #企业级 #研发提效 #Skill仓库 #规范资产化","export/UzFfBgAAxImgRB0ONSy5jMzT4DCakMTzRtIW8EXR164yjmRc6w","2026/07/18","0.92%","13.53秒",433,3,1,2,8,2,8,0,0,0,,,,
"（E08）讲了「AI 代码占比怎么算」的方法论，这集直接把工具跑给你看。光数 commit 里的 Co-authored-by 不够——VS Code Copilot 会给人手写的代码也自动加 trailer，占比虚高。怎么挡掉假信号？三层识别 + 风格学反伪造。

这集是推广度量的实操集：clone 仓库、跑 `python main.py`、看真实报告，整个过程 0 配置开箱即跑，换成你自己的仓库路径就能复用。

你将看到
- L1 Co-authored-by 初筛：commit trailer 匹配 6 大 AI 工具名（claude / copilot / cursor / chatgpt / codeium / gemini），第一道筛子
- L2 风格学反伪造（重头戏）：n-gram + 余弦相似度，判断「这段代码像不像作者本人手写」——挡掉被误标 trailer 的代码，这是最关键的一层
- L3 注册表组合判定：把 L1 + L2 的结果按规则组合，输出双口径（提交占比 vs 行数占比）的最终数据
- python main.py 实跑：从 clone 到出 Markdown/HTML 报告，全流程演示，附 Excel 模板让你直接对老板汇报
- 换自己数据：把 main.py 里 REPO 指向你的仓库路径，立刻得到你团队的 AI 代码占比——零改代码

为什么必须三层
单看 Co-authored-by 会被工具自动加的 trailer 误导；单看风格学又会漏判。三层递进校验，每层挡一类假信号，最后给出来的数字才经得起老板和审计追问。

适合谁看
技术负责人 / 研发 Leader（要用数据证明转型 ROI）、想知道「我们团队 AI 到底写了多少代码」的工程师、对 n-gram / 余弦相似度 / 度量体系感兴趣的开发者

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应教程：stage5.html（推广与度量·实操）+ demos/ai-metrics（三层识别算法 + Excel 模板）

#AI转型 #程序员 #ClaudeCode #企业级 #研发提效 #AI代码度量 #三层识别","export/UzFfBgAAxIKgbFF-CC65jMzT4DCahT4UNNSxMKUHuwG8PuYsEA","2026/07/18","1.03%","9.50秒",292,1,1,0,4,1,4,0,0,0,,,,
"一个 SFTP 推送任务静默挂了 9 个月，客户才发现——不是没报错，是代码吞了异常自报成功。这种坑怎么让它永远不再发生？把个体经验沉淀成组织资产。

这集讲沉淀复用（阶段 6）。前 5 集能力长在个人身上，人走了经验也走了。这集把「个人会用」变成「团队资产」。

你将学到
- 反常识钩子：SFTP 静默挂 9 个月——代码吞异常自报成功，怎么让它永远不再发生
- 7 种 Skill 范式：工具型（SQL/CRUD）/ 规范型（设计 Token）/ 平台型（低代码 + 接口白名单）/ 流程型（规范提交）/ 记忆型（跨会话）/ 诊断型（只读分析）/ 编排型（devflow 串流水线）
- 规范资产化：三条红线（租户隔离 corp_id / MQ finally 清理 / 事务管理器）写进 rules/，AI 自动加载
- 真实避坑：静默吞异常 → SFTP 停更 9 个月（catch 重抛 + handleFail + 外部健康检查）
- 自我改进循环：AI 犯错 → 人指出 → AI 更新 CLAUDE.md → 下次自动避开（核心精华，规则越用越厚）
- 六大共性方法论：规范资产化 / Skill 沉淀 / OpenSpec+Superpowers / 录制+AI 生成 / 多 Agent 并行 / RAG 调研
- 沉淀案例：测试用例 4-8h → 10-30min，devflow 把规范驱动开发变成团队默认工作流

适合谁看
技术负责人 / 研发 Leader（把个人能力变组织资产）、想让 AI 自动遵守团队规范的工程师、对 Skill 设计 / 自我改进循环感兴趣的开发者

合集
「AI 提效转型实战」共 13 集。上集（E08）讲了推广度量（数据证明转型），这集是沉淀复用——怎么把个体经验变成组织资产。下集（E10）讲度量实操——跑 ai-metrics 看 AI 占比。

教程仓库（所有 demo clone 即跑）：Johnson-Jia/ai-landing-tutorial
本集对应教程：stage6.html（沉淀与复用）+ demos/claude-skills（4 skill + 13 规范）

#AI转型 #程序员 #ClaudeCode #企业级 #研发提效 #Skill范式 #自我改进","export/UzFfBgAAxJOgOBkhAje5jMzT4DCab6xoYyPuCuq7sC6fSXQyTw","2026/07/18","0.40%","7.03秒",248,0,3,0,1,0,1,0,0,0,,,,
"转发给做开发的朋友看看。

#GitHub热门 #开源 #程序员 #科技 #开源工具","export/UzFfBgAAxIqgYBohLTa5jMzT4DCauNgR2TwrdZJMkiT-U5Pgrg","2026/07/18","5.20%","9.23秒",577,1,7,0,23,3,23,0,0,0,,,,
"一个开源剪映单日三千星，一个专治 AI 味。
转发给做开发的朋友，这几个值得收藏。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxLCgBEkOTG6-jMzT4DCauEJts5JVHZsXo-GXu2aWdg","2026/07/17","6.05%","11.53秒",463,0,5,2,19,2,19,0,0,0,,,,
"skills榜首单日2130星，开源编程AI学习营销都有，分享给你身边写代码的朋友。

#GitHub #开源 #程序员 #科技 #编程 #AI","export/UzFfBgAAxKWgLAM4UES_jMzT4DCaaBsiNGWnOoGWZoth9RtYOg","2026/07/16","9.89%","26.60秒",870,2,9,0,22,2,22,0,0,0,,,,
"转发给做开发的朋友，今天GitHub有6个值得看的项目：OpenCut是开源版剪映浏览器即开，skills是工程师技能包，destructive_command_guard拦AI危险命令，penpot是开源团队设计平台，sharpemu是实验性PS5模拟器，Win11Debloat给Windows瘦身。完整路径放评论区自评，关注GitHub星探每天看热门开源。

#GitHub #开源 #程序员 #科技 #AI","export/UzFfBgAAxLagWAAQNzC9jMzT4DCatJs051z8M9JyFlgCg9ZdPg","2026/07/15","8.05%","17.11秒",769,1,5,2,28,5,28,0,0,0,,,,
"转发给爱折腾开源工具的朋友，这期两个项目单日破千，AI 与非 AI 各占一半，剪视频、建知识图谱、跑 AI 应用都有覆盖。

#GitHub #开源 #科技 #程序员 #AI #编程","export/UzFfBgAAxJ-gABQ5SBeyjMzT4DCalrzYIFbnElbChvNdsO-bxw","2026/07/14","11.08%","15.57秒",686,2,5,1,20,2,20,0,0,0,,,,
