视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,851,80.7%,13.5%,4.7星,4.5星,4.7星,25.3%,24.1%,25.6%,13.6%,6.2%,14.8%,13,2.4%,0,32,3.8%,0,0%,0,0%,74,8.7%,8,0.9%,7,0.8%,56.4%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,171,78%,4.2%,3.6星,4.3星,3.4星,41.4%,44.7%,40.4%,4.1%,2.7%,4.6%,2,1.5%,0,4,2.3%,0,0%,0,0%,3,1.8%,0,0%,0,0%,20.5%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,312,82.3%,5.2%,4.2星,4.3星,4.1星,34.2%,33.3%,34.4%,5.5%,0%,7.3%,5,2%,0,5,1.6%,0,0%,0,0%,9,2.9%,0,0%,3,1%,61.2%
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,1146,93.6%,8%,4星,4.1星,4星,47.2%,32.9%,48%,12.6%,5.6%,13%,59,5.6%,0,45,3.9%,0,0%,0,0%,85,7.4%,2,0.2%,15,1.3%,48.6%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,198,83.4%,3.3%,4.2星,3.8星,4.2星,32.8%,18.2%,35.8%,7.1%,6.5%,6.4%,4,2.6%,0,3,1.5%,0,0%,0,0%,10,5.1%,0,0%,1,0.5%,53.6%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,487,81.5%,7.7%,4.7星,4.5星,4.6星,21.5%,25.3%,20.7%,20.1%,13.2%,23.6%,8,2.4%,0,16,3.3%,3,0.6%,0,0%,61,12.5%,1,0.2%,18,3.7%,49.4%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,151,85.3%,2.1%,4.1星,4.3星,3.9星,44.3%,30.4%,46.8%,12.8%,33.3%,9.8%,0,0%,0,7,4.6%,0,0%,0,0%,9,6%,2,1.3%,2,1.3%,62.9%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,62,88.1%,0.8%,2.4星,2星,2.6星,32.8%,40%,31.3%,9.7%,0%,11.3%,0,0%,0,5,8.1%,0,0%,0,0%,1,1.6%,0,0%,0,0%,30%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,194,80.6%,3.3%,4.3星,3.9星,4.4星,31.1%,10.8%,35.9%,5.7%,2.7%,5.8%,0,0%,0,3,1.5%,0,0%,0,0%,8,4.1%,0,0%,0,0%,61%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,75,61.2%,2.9%,4.1星,4.3星,3.8星,30.1%,24.1%,34.1%,5.4%,0%,7.3%,0,0%,0,2,2.7%,0,0%,0,0%,1,1.3%,0,0%,1,1.3%,18.9%
