视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
48天破千星，这个数字人项目做了别人没做的事,2026年06月04日 18:23:52,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4%,1,4%,0,0%,1,4%,0,0%,0,0%,-
6月4日GitHub热门 | 20万星项目首次上榜！,2026年06月04日 11:22:06,211,-,-,4.5星,4.3星,4.6星,-,-,-,5.1%,-,-,-,-,-,6,2.8%,0,0%,0,0%,12,5.7%,2,0.9%,0,0%,-
54000 Star造假？揭秘RuView虚假开源项目,2026年06月04日 10:41:33,403,-,-,4星,4.4星,4星,-,-,-,2.6%,-,-,-,-,-,8,2%,1,0.2%,0,0%,4,1%,0,0%,1,0.2%,-
二次元开源工具大盘点，收藏备用！,2026年06月03日 17:21:10,922,82.8%,5.9%,4.1星,4.5星,4.1星,18%,22%,17.1%,13.1%,10.2%,12.3%,2,0.7%,0,28,3%,0,0%,0,0%,84,9.1%,5,0.5%,5,0.5%,37.3%
6月3日涨星最快的6个项目，一个已经20万星了,2026年06月03日 10:55:04,1348,88.7%,9.5%,3.3星,3.5星,3.4星,17.7%,27.9%,16.3%,12%,10.2%,13.1%,30,3.9%,0,59,4.4%,2,0.1%,0,0%,88,6.5%,8,0.6%,8,0.6%,61.8%
AI × 游戏开发生态,2026年06月02日 16:52:34,973,90.5%,9.5%,4.3星,4.2星,4.3星,22.1%,34.9%,20.6%,10.4%,12.5%,9.9%,12,1.4%,0,29,3%,7,0.7%,0,0%,65,6.7%,2,0.2%,3,0.3%,31.7%
今天GitHub上5个项目集体爆发，单日最高涨3375星！,2026年06月02日 12:41:33,772,85.3%,10.3%,2.4星,3.4星,2.5星,24.1%,25.9%,23.7%,10%,5.8%,11.3%,31,5.1%,0,24,3.1%,1,0.1%,0,0%,49,6.3%,0,0%,5,0.6%,58.8%
本周GitHub最热的14个开源项目,2026年06月01日 10:55:32,556,81.4%,8.9%,4星,4.5星,3.9星,34.7%,25.3%,36.9%,9.2%,6.6%,12.6%,7,1.8%,0,11,2%,6,1.1%,0,0%,25,4.5%,3,0.5%,5,0.9%,54.2%
6月1日GitHub涨星最快的6个项目,2026年06月01日 10:40:59,1238,89.7%,10.9%,2.6星,3.1星,2.7星,25.4%,31.5%,24.7%,12.1%,5.4%,11.1%,42,4.3%,0,45,3.6%,1,<0.1%,0,0%,103,8.3%,5,0.4%,15,1.2%,65.8%
一行文字到成片，我让AI自己做了条短视频 | 开源项目 ClipForge 深度解析,2026年06月01日 10:24:37,307,78.2%,7%,2.9星,3.2星,3星,46.6%,33.3%,50.2%,5.9%,0%,7.5%,1,0.4%,0,7,2.3%,0,0%,0,0%,10,3.3%,0,0%,1,0.3%,40.6%
