视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,6773,98%,12.5%,4.4星,4.6星,4.4星,13%,39.6%,12.3%,10%,12%,10%,241,3.8%,0,208,3.1%,9,0.1%,0,0%,401,5.9%,29,0.4%,35,0.5%,46.7%
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,537,81%,9.8%,3.5星,4星,3.5星,36.5%,35.8%,36.6%,7.8%,2%,9.6%,4,0.9%,0,13,2.4%,0,0%,0,0%,27,5%,0,0%,2,0.4%,31.9%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,2454,94.8%,11.6%,4.4星,4.6星,4.4星,21.7%,31.3%,21.1%,11.1%,6.6%,12.3%,128,5.8%,0,79,3.2%,1,<0.1%,0,0%,163,6.6%,4,0.2%,27,1.1%,63.7%
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,1030,90%,9%,2.2星,2.6星,2.4星,32.5%,28.4%,32.9%,17.2%,7.9%,18.8%,33,3.6%,0,41,4%,0,0%,0,0%,109,10.6%,8,0.8%,19,1.8%,49.6%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,189,72.5%,5.2%,3.1星,3.6星,3星,50%,40%,53.9%,1.1%,0%,1.5%,0,0%,0,0,0%,0,0%,0,0%,1,0.5%,0,0%,1,0.5%,20.3%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,300,78%,6.9%,3.2星,3.6星,3.2星,39.9%,35.9%,40.9%,8.4%,4.8%,9.4%,1,0.4%,0,6,2%,0,0%,0,0%,17,5.7%,0,0%,2,0.7%,53.8%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,3095,97.6%,7.2%,4.7星,4.1星,4.7星,16.9%,24%,16.6%,6.4%,10%,6.6%,21,0.7%,1,67,2.2%,1,<0.1%,0,0%,115,3.7%,3,<0.1%,11,0.4%,43.7%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,272,84.5%,4.4%,4.2星,4.6星,4.2星,29%,21.9%,30.2%,1.1%,0%,1.3%,0,0%,1,2,0.7%,0,0%,0,0%,1,0.4%,0,0%,0,0%,44.1%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,832,84.5%,11.1%,3.9星,3.9星,4星,26%,26.7%,25.9%,10.5%,8%,12%,29,4.7%,0,17,2%,0,0%,0,0%,57,6.9%,1,0.1%,11,1.3%,62.3%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,1830,96.7%,6.4%,4.5星,4.5星,4.5星,14.8%,28%,14.3%,2.2%,0%,2.5%,1,<0.1%,0,22,1.2%,10,0.5%,0,0%,5,0.3%,0,0%,3,0.2%,63.2%
