视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
注意了！一个估值50亿美元的AI平台，收紧审核后一周流失40%用户与此同时，开源替代品爆发式增长，一个项目Star从2万飙到13.7万这说明什么？情绪陪伴,2026年05月21日 20:44:03,154,90%,1.9%,3星,3.6星,2.9星,43.5%,23.1%,45.3%,2%,8.3%,1.5%,0,0%,0,1,0.6%,0,0%,0,0%,2,1.3%,0,0%,0,0%,22.1%
一对一辅导一小时八百块！如果AI把这个成本降到接近零呢？全球AI教育市场增速40.9%中国市场2027年突破2500亿！三个开源项目+三条商业化路径全拆解,2026年05月21日 15:30:04,151,89.9%,1.9%,2.4星,3.3星,2.5星,62.5%,23.5%,67.4%,2%,8.3%,2.3%,0,0%,0,2,1.3%,0,0%,0,0%,1,0.7%,0,0%,0,0%,27%
今天四个新项目同时杀入GitHub热榜openhuman三天暴涨两万星，今天又涨了三千多codegraph总星正式破万，代码知识图谱越来越火,2026年05月21日 12:46:43,266,85.8%,4.3%,3.7星,4.2星,3.8星,39.8%,20.6%,42.7%,6.8%,2.9%,7.8%,5,2.2%,0,4,1.5%,0,0%,0,0%,12,4.5%,0,0%,3,1.1%,64.7%
49万亿的市场，3亿老人等着被服务，大厂居然集体缺席。中国60岁以上人口突破3亿，到2050年银发经济规模逼近50万亿。但这个市场几乎没人认真做,2026年05月20日 21:21:31,50,87.5%,0.9%,3星,2星,3.1星,20.4%,33.3%,18.4%,26.5%,25%,26.8%,0,0%,0,9,18%,0,0%,0,0%,3,6%,0,0%,1,2%,34.7%
三个月两万星！这个开源项目直接炸了一个能记住你、理解你、还能替你开会的AI助手18个专业Agent协同工作，118个第三方集成消息聚合20+渠道,2026年05月20日 14:56:16,256,80.5%,5.2%,4.8星,4.6星,4.7星,42.1%,25%,45.2%,13.9%,7.4%,16.2%,2,1.1%,0,13,5.1%,0,0%,0,0%,15,5.9%,2,0.8%,5,2%,40.6%
一条命令就能让AI直接操控你桌面上的软件？这个36K Star的项目CLI-Anything，来自港大数据科学团队，能把Blender、GIMP,2026年05月18日 15:36:22,169,84.3%,6.9%,2.9星,3.7星,2.9星,50.3%,57.1%,49.3%,9.5%,21.1%,10.5%,1,0.7%,0,6,3.6%,0,0%,0,0%,6,3.6%,0,0%,3,1.8%,53.8%
今天 GitHub 涨星最猛的 6 个项目，AI 相关的占了一半！一个 Rust 写的个人 AI 大脑，一天涨近四千星,2026年05月19日 15:42:04,476,83.6%,12.1%,3.4星,3.9星,3.4星,37.1%,21.7%,39.5%,10.4%,9.5%,12.4%,11,3%,0,18,3.8%,0,0%,0,0%,31,6.5%,0,0%,7,1.5%,60.7%
注意了，垂直AI智能体市场正在爆发2026年全球市场规模140亿美元，到2031年预计涨到340-495亿关键是大语言模型让搭建成本降低了,2026年05月19日 17:17:58,139,95.6%,1%,2星,2星,2星,58.1%,50%,58.5%,4.4%,0%,4.7%,0,0%,0,5,3.6%,0,0%,0,0%,1,0.7%,0,0%,0,0%,16.6%
注意了，今天GitHub榜单有个信号：前8名有6个是AI智能体项目。openhuman一天近四千星，andrej-karpathy-skills近十四万总星。,2026年05月20日 13:01:32,702,90.6%,8.6%,4.4星,4.3星,4.4星,46.9%,38.5%,47.7%,10.7%,6.3%,11.3%,14,2.3%,0,16,2.3%,2,0.3%,0,0%,40,5.7%,2,0.3%,17,2.4%,60.2%
做PPT还在手动排版？5个AI开源项目帮你全自动生成，五轮淘汰赛帮你选出最好用的,2026年05月20日 14:15:23,436,92.7%,4.5%,4.1星,4.1星,4.1星,35.8%,28.6%,36.2%,12.6%,15%,11.8%,4,1%,0,11,2.5%,0,0%,0,0%,34,7.8%,0,0%,8,1.8%,43.8%
