"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面"
"6个AI开源工具盘点：AI白帽查漏洞、24万星Agent框架、AI剪视频、AI求职14模式。每个都替你干一件你嫌烦的活，转发给做开发的朋友看看哪个能用上。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxOunPFc-Eh2sjMzT4DCaJLzD7b42CI_3pW5ojywTsg","2026/07/03","8.62%","17.27秒",174,0,1,0,10,1,10,0,0,0
"今天GitHub上的6个项目，AI-For-Beginners微软12周AI入门课、astryx脸书开源设计系统、tolaria markdown知识库桌面app、council 18个AI角色议事、AiToEarn AI一键多发、logto给应用加登录认证，大厂的占一半普通人也能直接用，转发给想学AI或爱折腾工具的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #大厂开源 #设计系统 #转发","export/UzFfBgAAxOmnUFc3WUutjMzT4DCaXpLJyLngvPj_5qfY-_5U2w","2026/07/02","13.84%","20.86秒",1582,6,19,2,72,18,72,0,0,0
"今天GitHub上的5个项目，exercises-dataset收录433个健身动作、OmniRoute免费AI网关接231家供应商省95%token、strix让AI帮你找代码漏洞、herdr终端里同时跑多个AI agent、superpowers24万星的agent技能框架，一半普通人能直接用，转发给爱折腾或写代码的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #开源项目 #效率工具 #AI工具 #转发","export/UzFfBgAAxPKnRC8VCiijjMzT4DCawpX2NBIBG7P9r78U8s7-tw","2026/07/01","8.79%","20.80秒",1126,6,14,0,37,8,37,0,0,0
"转发给也在创业的朋友：学吧100 融资 1 亿美金招上万教师，最后被自己教师把学生一个个加到微信私下带走，网络效应被自己人拆散。冷启动烧钱获客 50-100 美金一个学生，六成首课即流失，2017 年猿辅导作业帮融 5 亿美金围剿，年底关门。

残骸淘到两条金子：一是双边平台必须同时解决流动性质量留存，二是这家能用 GPT 大模型重做，AI 自动出学习计划出练习题，毛利 70% 往上，教师只在批改作文模拟面试关键时刻出场。这个 AI 原生自适应学习的点子值得分享给做教育或做平台的朋友。

数据来源：loot-drop.io 创业坟场（AI 辅助总结，仅供参考）

#创业淘金者 #创业失败 #商业复盘 #创业 #财经 #学吧100 #在线教育 #创业教训","export/UzFfBgAAxPmnfEFwfS-gjMzT4DCaBG30krE07m_zfmu5c-gOkA","2026/06/30","3.51%","18.85秒",314,0,1,0,3,1,3,0,0,0
"今天GitHub上的5个安全研究项目，council让AI大佬替你拿主意、VulnClaw一句话挖漏洞、tolaria笔记变知识库、VeraCrypt给U盘上锁、maigret用户名扒全网公开信息，转发给做安全或爱折腾的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #安全研究 #开源项目 #效率工具 #信息安全","export/UzFfBgAAxOGncBJBIB6gjMzT4DCa7FO9Un9SZUw-lJCC0iXH8w","2026/06/30","8.44%","16.21秒",603,3,6,0,30,5,30,0,0,0
"转发给做开发的朋友，第27周GitHub一周涨星最猛的14个项目，最高一个OpenMontage一周涨18703星，AI编程助手变视频工作室。

#GitHub #开源 #AI #编程 #科技 #人工智能 #开发工具","export/UzFfBgAAxPmnIHBndxKhjMzT4DCaQgmphelOogkQy9O93HsHBw","2026/06/29","10.54%","21.21秒",607,2,7,0,22,9,22,0,0,0
"今天GitHub涨星最猛的5个AI工具，codebase-memory-mcp让AI看懂代码库、FluidVoice离线语音听写、Vibe-Trading交易agent、video-use代码剪视频、strix找漏洞修bug，转发给用得上的朋友。

#GitHub热门 #程序员 #开源 #AI #科技 #AI工具 #开源项目 #效率工具","export/UzFfBgAAxO2nDDQPMEShjMzT4DCaC7ZMPTe4cQfRx639jDkc4Q","2026/06/29","11.43%","19.90秒",1207,4,5,2,38,3,38,0,0,0
"微软自己做的 Windows 效率工具，三十多个，免费。
转发给用 Windows 的朋友，窗口分区、快速启动、跨机键鼠这些都能用上，官方出品，开源透明。

#PowerToys #Windows效率工具 #微软 #生产力工具 #桌面效率 #效率工具推荐","export/UzFfBgAAxJSnBBMgY2GmjMzT4DCa5HXkpTsME_fh4LuY31VvHg","2026/06/28","3.52%","19.96秒",681,4,8,1,8,1,8,0,0,0
"开源自动驾驶装进300多款车，还有AI能记住你说过的话、把文档秒变PPT。这几个GitHub项目挺实用，转给做AI应用和网站运营的朋友看看。

#GitHub热门 #开源 #AI #程序员 #科技","export/UzFfBgAAxOKndDVXKSynjMzT4DCawKfNil32EWHP-93InLsxWg","2026/06/28","9.41%","21.18秒",510,0,4,0,11,4,11,0,0,0
"有个能把PDF秒变成AI能读的格式，自托管旅行工具、AI联网能力、不用账号的加密聊天全都有。

转发给做开发的朋友，这几个开源工具值得看看。

#GitHub #开源 #程序员 #科技 #工具","export/UzFfBgAAxJWnEE4lUFunjMzT4DCaqrIf6vORq3nrnpX7Dn5SZg","2026/06/27","12.07%","37.17秒",703,2,16,2,27,8,27,0,0,0
"P2P五千家清零的教训。
微贷网烧光上亿美金。
监管套利是定时炸弹。
转发给身边创业的朋友。

#创业淘金者 #创业失败 #商业复盘 #创业 #财经","export/UzFfBgAAxOunCCAUcQqljMzT4DCa7ybh1j61_mGmVHwvJCTJTA","2026/06/26","7.22%","21.23秒",443,0,0,0,3,2,3,0,0,0
"6月26日GitHub热门项目盘点，design.md给AI写视觉说明书单日1407星，gstack配23个角色、MinerU把PDF变AI口粮、page-agent说话操控网页、TREK自托管旅行规划，5个AI工具都挺实用。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxOinGH8demKljMzT4DCaOCYL8NoC2aG82LMrhH3z8g","2026/06/26","8.39%","21.63秒",1656,3,13,4,42,4,42,0,0,0
"6月25日 GitHub 涨星榜，苹果居然没用 Docker，自己用 Swift 造了个更轻的原生容器，Mac 用户即装即用。

还有二十万星的成长型 AI 伙伴、一条命令克隆网站、一份订阅跑整支 AI 舰队。值得转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxP6nBFwYGUjajMzT4DCaAnOGIgbqQDtMWMfwpTDMbA","2026/06/25","6.72%","18.93秒",773,4,5,0,26,5,26,0,0,0
"转发这期魔力耳朵复盘给创业的朋友。五千万美金融来，一道双减文件，教培帝国一夜归零。死因是政策一刀切加账本早崩。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #双减 #财经","export/UzFfBgAAxJ2ncAMZTy7YjMzT4DCaIsWDMFmiT6FrR5k6eex6xg","2026/06/24","6.02%","18.10秒",415,0,0,1,0,0,0,0,0,0
"今天GitHub涨星王是AI视频工作室，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxOKnRCk4GzfYjMzT4DCaDSAtMDQS-zxusTkTsScEOQ","2026/06/24","-","0",0,0,0,0,0,0,0,0,0,0
"22亿美金烧出一片共享单车坟场。ofo小黄车死因写在账本上：单位经济为负还疯狂扩张250城，最后挪用押金崩盘。教训和能偷的点子都在视频里。数据来源 loot-drop.io 创业坟场，AI 辅助总结仅供参考。

#创业淘金者 #创业失败 #商业复盘 #ofo #财经","export/UzFfBgAAxO2ncFhHISrZjMzT4DCa-MlGbZ6GvlJ05GBb7nPsZQ","2026/06/23","6.48%","26.05秒",664,0,2,1,1,3,1,0,0,0
"今天GitHub涨星王是AI视频工具，转发给做开发的朋友看看。

#GitHub热门 #开源 #AI视频 #程序员 #科技","export/UzFfBgAAxISnbB9eRxPZjMzT4DCagQlWAnWOyFNrAD8KULRx8g","2026/06/23","11.64%","18.32秒",275,0,1,0,11,3,11,0,0,0
"第25周GitHub周榜，AI项目占了一大半，13个项目里8个跟AI有关，转发给做开发的朋友别错过。

#GitHub热门 #程序员 #开源 #AI #科技","export/UzFfBgAAxIGndHB4P3HejMzT4DCazKqPtxF4URPW9X4XGVEtuA","2026/06/22","10.94%","26.47秒",2185,5,28,4,67,20,67,0,0,0
"今日 6 个值得留意的开源项目。

#开源 #GitHub #AI #科技 #程序员","export/UzFfBgAAxJqnaEc-O37ejMzT4DCaYP_PhAeyODOftVerZ_ZuMg","2026/06/22","13.62%","24.56秒",4619,27,63,5,217,29,217,0,0,0
"转发给做开发的朋友，本期 GitHub 6 个项目都值得关注：抄大佬技能、网页变 app、短信自动转发。关注我，每天一份热门项目清单。

#GitHub #开源 #AI #科技 #程序员","export/UzFfBgAAxIWnTEkqMFXfjMzT4DCa6e0CNEOzPuBYxQjBa4VzXg","2026/06/21","10.31%","23.04秒",3704,13,43,2,176,10,176,0,0,0
"输入砍掉九成，AI 答案几乎一样。
今天 6 个 GitHub 热门项目，headroom 一天近四千星最猛。
还有 AI 帮剪视频、全球情报仪表盘、免费设计工具。
做开发的朋友，这几个工具转发给你看看，哪个性价比最高。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxPOnADkifBXdjMzT4DCal3VBzU2ryzD229LRTCrblw","2026/06/20","10.65%","21.99秒",3802,10,26,9,99,19,99,0,0,0
"终端复用器 tmux，让远程会话永不掉线。
client-server 架构，一个二进制身兼两职。
做后端的朋友用得上，转发给需要的开发者。

#GitHub #开源 #程序员 #科技 #终端","export/UzFfBgAAxOWnCE4dX1_djMzT4DCaZi4VPu4QDzZtjhiXz9bCrg","2026/06/19","3.42%","29.84秒",1200,7,6,0,16,2,16,0,0,0
"今天 6 个项目杀入榜单，涨星最猛的是 codebase-memory-mcp，单日 2308 颗星，它把整个代码库索引成持久知识图谱，AI 查代码不用反复喂上下文，平均仓库毫秒级完成。还有一个不 root 就能删安卓预装的工具 Universal-Debloater，一个能自己部署的离线翻译 LibreTranslate，以及 Kong 维护的免费 API 客户端 insomnia。国产 GLM-5 开源主打从随手写代码到 AI 自己跑完整工程，Google 的 timesfm 用大模型思路做时间序列预测。点个关注，每天带你梳理值得关注的开源项目。

#GitHub #开源 #程序员 #AI #科技","export/UzFfBgAAxOqnbBZaEmTSjMzT4DCa057BkjXg17pTso90rGdqFQ","2026/06/19","9.11%","21.86秒",4347,17,48,7,148,17,148,0,0,0
"4万星的开源项目 yazi，让你终端里直接看图看视频。图片视频PDF代码全能预览，键盘流手不离键盘。31个模块6层架构，一个线程零把锁。转发给常泡终端的朋友

#GitHub #开源 #程序员 #效率工具 #科技","export/UzFfBgAAxJSnXF16ADHTjMzT4DCaRHzIR4olJh74KnXQzIWfag","2026/06/18","7.64%","18.94秒",915,3,3,2,15,1,15,0,0,0
"6个项目杀入GitHub涨星榜，有个把AI看代码的输入砍掉了99%。涨幅最高单日+1523星，还有给AI装眼睛读遍全网的、免root清安卓预装的、免费设计和项目管理工具。转发给做开发的朋友

#GitHub #开源 #程序员 #AI #科技
","export/UzFfBgAAxIanBFtZfn3TjMzT4DCaObpTi85cYnWN2AkFJwqJEg","2026/06/18","9.47%","26.19秒",5108,14,62,6,197,21,197,0,0,0
"转发给做建筑、做ToB的朋友。从 Katerra 的失败，看投标决策这个被忽视的SaaS切入点。

#商业 #SaaS #商业分析 #创业 #投资","export/UzFfBgAAxOOnAGM2TDTRjMzT4DCaDPiExag23rOTUYDr0oAV4w","2026/06/17","2.33%","19.58秒",686,1,2,0,3,3,3,0,0,0
"今日6个项目——VoxCPM(不用分词器多语言TTS,+413)、iroh(钥匙拨号去中心网络,+326)、meshery(画图管云原生)、teslamate(特斯拉自托管数据)、zvec(进程内向量库)、Universal-Debloater(免root清预装)。

#GitHub热门 #程序员 #开源 #AI #科技 #开源项目","export/UzFfBgAAxP6nHAs_DzHRjMzT4DCaSsh5hevCkd6hdM1lHayc4g","2026/06/17","13.13%","24.60秒",2414,9,20,0,61,24,61,0,0,0
"从一篇论文到全民革命，再到国产突围。转发给关注AI的朋友，一起看清这场军备竞赛。

#人工智能 #大模型 #科技前沿 #AI进化史 #华为","export/UzFfBgAAxOinIGY_XCfWjMzT4DCaUsn7jhcANydwLjLfyaXnMA","2026/06/16","7.20%","33.65秒",1000,0,7,1,4,2,4,0,0,0
"6月16日GitHub榜单，6个项目4个都是AI agent赛道。

NVIDIA亲自下场，SkillSpector +1079星今日最猛，用AI扫描AI agent里的恶意代码。

Agent-Reach +1045星，给AI agent装上眼睛读遍全网平台，零API费。

转发给做开发的朋友，今天一起看AI agent赛道爆发。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJanHEsGcwLWjMzT4DCa3sA6vl4iMzKru0qRywOv1g","2026/06/16","16.65%","27.59秒",7809,24,77,7,362,87,362,0,0,0
"转发给做开发的朋友，今天6个项目值得看，AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxJynZFV1UBjXjMzT4DCawDdz8nKUfOAMZcL-cGN87g","2026/06/15","11.71%","23.02秒",1127,1,4,4,29,4,29,0,0,0
"第24周 GitHub 周榜速览，13 个项目分 4 组。AI审AI涨星962。

#GitHub热门 #程序员 #开源 #AI #科技 #人工智能","export/UzFfBgAAxOGnEEgOWnjXjMzT4DCafsytgUTZo5fzDjehuZm9hg","2026/06/15","9.94%","33.20秒",2867,9,33,5,114,28,114,0,0,0
"6月14日GitHub杀入一批猛项目，AI Agent相关占了一半，还有工具把大模型推理延迟砍掉一大半。转发给做开发的朋友看看。

#GitHub #开源 #AI #程序员 #科技","export/UzFfBgAAxJ-naE4mckjUjMzT4DCazzZ2SkaCLwsFArxyeO_nrQ","2026/06/14","16.72%","25.86秒",11974,53,125,12,527,126,527,0,0,0
"5742万人围观的公告。上线4天的旗舰模型，因管制全量下架。同一天，国产GLM-5.2宣布开源。1M上下文，MIT协议，稳。智谱当前的开源旗舰大模型。封锁守门，开源开路。差距在算力，不在脑力。关注我，一起看懂AI。#智谱GLM #GLM5 #开源 #人工智能 #国产AI","export/UzFfBgAAxP-ncEMRBmvVjMzT4DCaras4u8-bcjoWZO_rvtl91A","2026/06/13","9.72%","21.06秒",1173,0,3,0,3,1,3,0,0,0
"刷到转发给求职的朋友。Career-Ops把740次试错做成开源系统，提示词即代码，AI自己改自己的评估规则，7平台对接七维评估。

#开源 #求职 #程序员 #GitHub #面试 #科技","export/UzFfBgAAxPunLAQOOVLVjMzT4DCanP7fCKL4cvWmVcrS3n0vyQ","2026/06/13","2.28%","16.42秒",569,4,4,0,10,0,10,0,0,0
