视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100%,0,0%,0,0%,0,0%,0,0%,0,0%,-
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,106,25%,1.90%,3.8星,4.4星,3.3星,60%,50%,100%,0%,0%,0%,0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2.50%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,1041,92.80%,4.50%,4.5星,4.4星,4.5星,36.20%,37.50%,36.10%,2.60%,0%,5.50%,0,0%,0,15,1.40%,6,0.60%,0,0%,4,0.40%,0,0%,2,0.20%,59.40%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,318,88.80%,9%,3.2星,4.2星,3.2星,42.30%,18.80%,45.60%,9.80%,21.40%,8.10%,0,0%,0,5,1.60%,0,0%,0,0%,14,4.40%,0,0%,5,1.60%,55.70%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,208,94.50%,7%,4.2星,4.6星,4.2星,26.70%,16.70%,27.30%,1.50%,0%,1.60%,0,0%,1,2,1%,0,0%,0,0%,1,0.50%,0,0%,0,0%,43.40%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,1999,99.40%,6.40%,4.7星,4.8星,4.8星,18.60%,29.40%,18.50%,5.50%,27.30%,5.20%,13,0.70%,0,41,2.10%,1,<0.1%,0,0%,67,3.40%,0,0%,4,0.20%,41.40%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,184,90%,11.50%,2.9星,4.1星,2.9星,47.40%,50%,47.10%,7.20%,5.50%,8.10%,0,0%,0,3,1.60%,0,0%,0,0%,8,4.30%,0,0%,2,1.10%,44.50%
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,198,94.30%,5.80%,4.5星,3.7星,4.5星,34.40%,20%,35.30%,11.30%,22.20%,8.10%,2,1.30%,0,7,3.50%,0,0%,0,0%,14,7.10%,0,0%,2,1%,56.80%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,127,87.20%,10.30%,3.1星,4.4星,3.1星,43.80%,55.50%,42%,4%,6.30%,4.60%,2,1.80%,0,4,3.10%,0,0%,0,0%,1,0.80%,0,0%,0,0%,19.60%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,186,90.90%,9.60%,3.8星,4.1星,3.8星,41.80%,52.90%,40.60%,5%,0%,5.70%,4,2.50%,0,3,1.60%,0,0%,0,0%,5,2.70%,0,0%,1,0.50%,55.60%
