视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
GitHub今日热门项目，建议收藏备用！,2026年05月31日 14:16:06,8213,96.9%,3.7%,4.4星,4.7星,4.4星,14.2%,40.6%,13.1%,9.8%,10.3%,10%,293,3.8%,0,249,3%,9,0.1%,0,0%,477,5.8%,33,0.4%,42,0.5%,46.8%
谁在真正赚钱？AI Agent 商业价值深度调研,2026年05月30日 19:17:37,686,72.9%,2.8%,3.7星,4.2星,3.7星,38.9%,40.1%,38.4%,6.1%,1.6%,8.3%,5,1%,0,13,1.9%,0,0%,0,0%,27,3.9%,0,0%,2,0.3%,32.5%
5月30日GitHub涨星榜，3个新项目冲上来，总星接近20万。,2026年05月30日 11:51:51,2919,92%,3.4%,4.4星,4.7星,4.4星,23.5%,32.3%,22.5%,11.5%,6.1%,13%,172,6.5%,0,97,3.3%,1,<0.1%,0,0%,200,6.9%,6,0.2%,33,1.1%,63.7%
做短视频的AI自己先火了 | 5月29日GitHub热门,2026年05月29日 12:40:34,1164,86.6%,2.1%,2.3星,2.8星,2.4星,32.5%,32.1%,32.6%,16.5%,9%,18.3%,41,4.1%,0,46,4%,0,0%,0,0%,117,10.1%,8,0.7%,21,1.8%,52.3%
AI 对企业培训行业冲击深度分析,2026年05月28日 20:18:14,255,63.6%,1.4%,3.1星,3.5星,3星,50.6%,45.3%,53.6%,1.6%,1.1%,1.9%,1,0.6%,0,1,0.4%,0,0%,0,0%,2,0.8%,0,0%,1,0.4%,23.1%
6个AI代码大脑深度对比，差距不止十倍纯C写的codebase-memory-mcp，155种语言解析，查询亚毫秒，Linux内核28M行代码3分钟搞定,2026年05月26日 18:51:41,566,70.5%,3.5%,3.7星,3.9星,3.7星,38.2%,34.4%,39.5%,7.8%,4.3%,10.6%,5,1.3%,0,12,2.1%,0,0%,0,0%,27,4.8%,0,0%,5,0.9%,59.8%
注意了，今天 GitHub 有个项目把域名注册做成了免费另一个项目给 AI 加了长期记忆，关掉对话下次还记得这些信息差你错过了可能要等很久,2026年05月27日 10:15:27,3996,94.6%,3.8%,4.8星,4.6星,4.8星,17.3%,26.1%,16.8%,7.4%,12.6%,7.6%,33,0.9%,1,98,2.5%,1,<0.1%,0,0%,172,4.3%,5,0.1%,20,0.5%,44.5%
不用黑客技术，51万行代码全泄露了,2026年05月27日 18:26:04,358,74.7%,1.7%,4.3星,4.6星,4.3星,29.5%,26.2%,30.6%,1.4%,1.2%,2%,1,0.4%,1,3,0.8%,0,0%,0,0%,2,0.6%,0,0%,0,0%,46.8%
今天涨星最猛的6个项目，单日最高+4466星，新项目占了一大半,2026年05月28日 10:23:51,1703,85.1%,3.7%,4.1星,3.8星,4.1星,36.5%,30.1%,37.5%,16.2%,7.4%,18.5%,135,9.7%,0,75,4.4%,0,0%,0,0%,172,10.1%,7,0.4%,22,1.3%,62%
GLM vs Qwen 大模型实战对比,2026年05月28日 16:01:38,2085,94.7%,1.7%,4.5星,4.7星,4.5星,15.2%,28%,14.2%,2%,0.9%,2.3%,3,0.1%,0,24,1.2%,10,0.5%,0,0%,5,0.2%,0,0%,3,0.1%,64.2%
