视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
今天6个项目冲上GitHub日榜，19万星的巨头居然还在加速涨星一个AI优化系统19万星，今天又涨了两千多星；还有一个项目专门教AI什么是好品,2026年05月26日 10:16:50,6444,90.1%,12.1%,4.7星,4.6星,4.7星,40%,34.2%,40.5%,27.1%,5.5%,28.2%,581,10.6%,1,470,7.3%,29,0.5%,0,0%,1004,15.6%,80,1.2%,132,2%,52.7%
注意了，大厂在AI硬件领域砸了500亿，却偏偏忽略了这个方向养老级AI可穿戴，大厂不做的三个原因：DAU不友好、付费意愿被低估、医疗认证成本高,2026年05月25日 19:44:34,261,67.6%,2.9%,3.6星,3.7星,3.4星,44%,43.1%,44.3%,3.4%,3.6%,4.8%,2,1.1%,0,5,1.9%,0,0%,0,0%,4,1.5%,0,0%,0,0%,19.8%
今天 6 个项目冲上榜，最高一天涨近四千星。Understand-Anything 把代码变成可以对话的知识图谱，不联网就能理解整个代码,2026年05月25日 19:25:26,524,72.8%,3.9%,4.5星,4.4星,4.5星,32.8%,30%,33.8%,5.3%,2.1%,7%,6,1.6%,0,10,1.9%,0,0%,0,0%,13,2.5%,0,0%,5,1%,63.6%
本周 GitHub 17 个最火开源项目，全被 Agent 统治了,2026年05月25日 13:06:04,1307,90.7%,4.1%,4.2星,4.3星,4.2星,47.7%,29.2%,49%,13.8%,6.3%,14.4%,73,6.2%,0,55,4.2%,0,0%,0,0%,105,8%,2,0.2%,17,1.3%,48.5%
AI 编程工具集体冲榜了，六个项目三个是代码理解工具codegraph 预索引知识图谱，帮你的 AI 助手省大量 Token,2026年05月24日 10:27:37,364,72.5%,3.5%,4.4星,4.3星,4.3星,30%,17%,33.7%,7.6%,10%,8.3%,6,2.4%,0,7,1.9%,0,0%,0,0%,15,4.1%,0,0%,2,0.5%,61.4%
10万Star的AI角色库，中文版居然比原版还猛！215个即插即用的AI专家角色，覆盖18个部门17种工具。不说你是专家，而是定义你怎么思考,2026年05月22日 13:28:39,1363,76.8%,9.6%,4.7星,4.7星,4.7星,21.5%,25.3%,20.7%,21.4%,13.2%,23.6%,22,2.3%,0,67,4.9%,4,0.3%,0,0%,206,15.1%,5,0.4%,45,3.3%,47.9%
你还在手动剪辑短视频？别人已经用代码自动化了！HyperFrames 面向 AI Agent，Pixelle 全自动从文案到成片，Remotion 面向开发者,2026年05月22日 19:35:23,219,75.7%,2.5%,4星,3.6星,4星,44.3%,30.4%,46.8%,14.3%,33.3%,9.8%,0,0%,0,9,4.1%,0,0%,0,0%,15,6.8%,2,0.9%,3,1.4%,63.7%
注意！2025年外卖大战结果出来了京东零佣金杀入，三个月拿下19%份额美团利润暴跌75%但份额没掉这场仗真正受伤的是饿了么,2026年05月23日 02:28:57,84,80.5%,0.8%,2.1星,2星,2.3星,31.7%,40%,30%,9.1%,0%,10.9%,1,1.5%,0,5,6%,0,0%,0,0%,1,1.2%,0,0%,0,0%,25.7%
今天涨星最猛的 5 个项目，AI 工具占了六成。CodeGraph 连续三天霸榜，今天又涨 3684 星，提前帮你把代码知识图谱建好，不用读源码就能理解整个项目,2026年05月23日 12:33:55,294,73.7%,3.5%,4.4星,4.2星,4.5星,30.8%,10.8%,35.4%,5.8%,2.7%,6.4%,0,0%,0,3,1%,0,0%,0,0%,10,3.4%,0,0%,0,0%,65.9%
注意了，软件行业正在经历一次范式转移。传统软件卖工具，新玩法卖结果。你不需要学会计软件，AI直接帮你把账做好。,2026年05月23日 19:43:28,122,58.5%,3.1%,4.3星,4.3星,4.3星,30.5%,29.4%,31.3%,4.3%,3.2%,6.7%,0,0%,0,2,1.6%,0,0%,0,0%,1,0.8%,0,0%,1,0.8%,17.8%
