视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
【开源深度解析】Agent Reach — 多平台零成本打通，AI助手的万能钥匙（253 commits, MIT协议）,2026年06月09日 17:25:11,595,28.7%,2.7%,3.3星,3.5星,3星,37.8%,39.5%,33.3%,9.5%,9.8%,15.2%,2,3%,0,17,2.9%,3,0.5%,0,0%,31,5.2%,4,0.7%,2,0.3%,31.7%
6月9日GitHub热门项目盘点,2026年06月09日 09:22:23,1022,50.6%,4.7%,3.9星,4.6星,3.8星,31.7%,36.6%,26.6%,11%,9.2%,12.5%,12,3.7%,0,37,3.6%,1,<0.1%,1,<0.1%,62,6.1%,4,0.4%,6,0.6%,58.5%
一个关于开源精神的故事：什么样的人会关注一个讲开源项目的频道？,2026年06月09日 09:14:18,417,57%,2.3%,2.1星,2.6星,2星,40.4%,43.4%,38.1%,7%,6.3%,8.4%,4,2.1%,0,16,3.8%,8,1.9%,0,0%,5,1.2%,0,0%,0,0%,36.9%
6月8日GitHub杀上来几个猛项目,2026年06月08日 20:00:55,1327,64.4%,6.9%,4.3星,4.8星,4.1星,22.5%,29.2%,18.6%,8.9%,10%,8.4%,28,3.4%,0,43,3.2%,1,<0.1%,0,0%,58,4.4%,6,0.5%,9,0.7%,56.3%
第24周 GitHub 周榜，19个项目杀入榜单，有个工具把AI输入砍掉九成,2026年06月08日 11:08:23,1402,66.8%,6.5%,4.2星,4.4星,4.1星,24.5%,32.5%,19.8%,14.6%,9.3%,18.2%,27,3%,1,57,4.1%,8,0.6%,0,0%,115,8.2%,4,0.3%,20,1.4%,53.4%
81K Star的开源项目，干了6年，你以为只是个文字识别？,2026年06月07日 21:28:15,3583,85.2%,7.3%,4.4星,4.7星,4.3星,21.4%,35.7%,18.5%,15.8%,13.7%,16.3%,77,2.8%,0,145,4%,1,<0.1%,1,<0.1%,370,10.3%,14,0.4%,40,1.1%,34.1%
6月7日 GitHub 涨星最高的6个项目，AI占了一大半,2026年06月07日 11:44:05,1837,74.3%,6.6%,3.8星,3.9星,3.7星,22.8%,25.7%,21.7%,15%,12.1%,17%,51,3.9%,0,77,4.2%,1,<0.1%,0,0%,166,9%,6,0.3%,24,1.3%,61.3%
断网后电脑还能跑 AI、查百科、看地图、学课程,2026年06月06日 12:00:51,1063,65%,5.8%,3.3星,3.6星,3.2星,26.8%,31.2%,24.2%,11.1%,6.3%,14%,9,1.3%,0,30,2.8%,1,<0.1%,0,0%,77,7.2%,2,0.2%,8,0.8%,40.4%
6月6日 GitHub 热门项目盘点,2026年06月06日 09:26:37,1182,69.5%,5%,3.5星,3.9星,3.4星,21.5%,24.5%,20.1%,6.9%,3.4%,9%,27,3.4%,1,22,1.9%,2,0.2%,0,0%,47,4%,6,0.5%,4,0.3%,60.1%
48天近千星，一个数字人全链路框架凭什么？,2026年06月05日 18:58:59,916,70.9%,4.2%,4星,4.6星,4星,26.4%,28.4%,25.6%,13.1%,11.1%,14.5%,6,0.9%,0,19,2.1%,3,0.3%,0,0%,86,9.4%,2,0.2%,10,1.1%,44.5%
