视频标题,发布时间,播放量,游客播放占比,粉丝观看率,封标点击率,粉丝点击率,游客点击率,3秒跳出率,粉丝3秒跳出率,游客3秒跳出率,互动率,粉丝互动率,游客互动率,涨粉量,播转粉率,取关量,点赞量,点赞率,评论量,评论率,弹幕量,弹幕率,收藏量,收藏率,投币量,投币率,转发量,转发率,平均播放进度
AI输入砍掉95%答案不变！今天GitHub热榜5个项目个个能打,2026年06月05日 10:24:56,3347,87%,6.3%,4.6星,4.5星,4.6星,20.8%,32.5%,18.6%,13%,10.3%,14%,75,2.6%,0,115,3.4%,8,0.2%,0,0%,274,8.2%,6,0.2%,41,1.2%,54.5%
6月4日GitHub热门项目来啦！,2026年06月04日 20:16:45,1.1万,93.5%,11.4%,4星,4.3星,4.1星,35.8%,34.2%,35.8%,29.5%,14.9%,31.1%,770,7.2%,0,1081,9.2%,51,0.4%,0,0%,2017,17.2%,109,0.9%,196,1.7%,48.9%
54000 Star造假？揭秘RuView虚假开源项目,2026年06月04日 10:41:33,1378,82.2%,3.8%,4.3星,4.5星,4.3星,19.3%,30.3%,16.3%,3.4%,0.8%,4.1%,13,1.2%,0,23,1.7%,0,0%,0,0%,16,1.2%,0,0%,7,0.5%,35.4%
二次元开源工具大盘点，收藏备用！,2026年06月03日 17:21:10,2909,83.1%,7%,4.2星,4.7星,4.2星,31.9%,37.8%,30.4%,25.7%,19.6%,25.7%,61,2.8%,0,231,7.9%,11,0.4%,0,0%,459,15.8%,22,0.8%,26,0.9%,37%
6月3日涨星最快的6个项目，一个已经20万星了,2026年06月03日 10:55:04,2659,86.2%,5.2%,3.2星,3.4星,3.3星,32.9%,30.4%,33.3%,16.7%,7.8%,18.6%,180,8.1%,0,169,6.4%,3,0.1%,0,0%,247,9.3%,10,0.4%,15,0.6%,62.8%
一行文字到成片，我让AI自己做了条短视频 | 开源项目 ClipForge 深度解析,2026年06月01日 10:24:37,577,64.6%,3.2%,3星,3.2星,3星,47.1%,44%,48.7%,6%,1%,9.8%,3,0.8%,0,16,2.8%,0,0%,0,0%,16,2.8%,0,0%,2,0.3%,45.8%
6月1日GitHub涨星最快的6个项目,2026年06月01日 10:40:59,2.4万,98.1%,6.5%,2.6星,3星,2.7星,45.6%,44.8%,45.6%,30.3%,9.9%,31%,2591,11.2%,0,2386,9.6%,26,0.1%,3,<0.1%,4605,18.6%,257,1%,248,1%,62.8%
本周GitHub最热的14个开源项目,2026年06月01日 10:55:32,1166,72%,4.7%,4星,4.7星,4星,31.8%,23.3%,35.1%,11.3%,6.5%,14.3%,26,3.1%,0,39,3.3%,7,0.6%,0,0%,72,6.2%,3,0.3%,11,0.9%,53%
今天GitHub上5个项目集体爆发，单日最高涨3375星！,2026年06月02日 12:41:33,1258,80.5%,3.5%,2.5星,3.2星,2.6星,25.1%,26.3%,24.8%,8.4%,4.2%,10%,50,5%,0,32,2.5%,1,<0.1%,0,0%,64,5.1%,2,0.2%,7,0.6%,61.7%
AI × 游戏开发生态,2026年06月02日 16:52:34,1262,86.6%,2.7%,4.4星,4.4星,4.4星,25.7%,39.4%,22.7%,12.7%,16.7%,12%,22,2%,0,46,3.6%,7,0.6%,0,0%,93,7.4%,4,0.3%,10,0.8%,31.9%
