6月23日 GitHub 热门盘点来了,2026年06月23日,271,,,,,,,,,0.1084,,,0,,,17,,1,,0,,13,,0,,1,,
第25周GitHub周榜速览（6月15日-21日），13个涨星最猛的项目，AI占了8个,2026年06月22日,893,0.4301,,,,,0.3627,,,0.1036,,,9,,,30,,0,,0,,55,,4,,5,,0.5512
字节开源的 SuperAgent 框架 deer-flow 7.2万星，能自主研究、写码、创作，靠沙箱记忆和子 agent 处理几分钟到几小时的长任务,2026年06月22日,1574,0.5996,,,,,0.2459,,,0.176,,,15,,,68,,1,,0,,178,,8,,25,,0.4891
6月21日GitHub盘点：一个人.claude目录13.8万星盖过大厂，今日涨星王headroom单日+3786,2026年06月21日,5085,0.7827,,,,,0.2042,,,0.1653,,,85,,,196,,4,,0,,547,,31,,75,,0.4885
6月20日GitHub热榜：输入砍九成AI答案没变｜headroom单日近四千星+palmier-pro AI剪视频+penpot免费设计工具,2026年06月20日,1236,0.5331,,,,,0.2756,,,0.0659,,,8,,,29,,1,,0,,46,,0,,5,,0.4674
tmux深度解析：2007年的终端复用器，凭什么让会话永不掉线？client-server架构全拆解,2026年06月19日,1255,0.6253,,,,,0.2724,,,0.0608,,,2,,,32,,3,,0,,34,,4,,4,,0.2883
6月19日 GitHub 涨星榜：codebase-memory-mcp 单日+2308★居首，把代码库变成知识图谱给AI省99%token,2026年06月19日,1660,0.6816,,,,,0.2552,,,0.1036,,,20,,,47,,3,,0,,113,,2,,10,,0.4766
4万星终端文件管理器深度解析：4种图像协议，终端里看图看视频,2026年06月18日,1230,0.5721,,,,,0.2965,,,0.0783,,,11,,,30,,5,,0,,54,,3,,3,,0.5302
6月18日GitHub涨星榜：AI看代码省99%token 单日涨幅王+1523星 6个开源项目,2026年06月18日,10268,0.9097,,,,,0.1501,,,0.1391,,,294,,,389,,46,,1,,874,,35,,78,,0.4379
从 Katerra 烧光20亿破产，看建筑投标分析SaaS的商业逻辑｜13万亿市场的薄利机会,2026年06月17日,994,0.4395,,,,,0.333,,,0.0222,,,1,,,5,,0,,0,,12,,1,,4,,0.2156
6月17日GitHub热榜：要淘汰IP地址的项目 + 不用分词器的TTS｜6个新锐开源盘点,2026年06月17日,1133,0.5877,,,,,0.2319,,,0.0639,,,10,,,16,,0,,0,,51,,4,,3,,0.5625
9年大模型进化史：从Transformer到盘古开源，参数暴涨一万倍,2026年06月16日,930,0.5066,,,,,0.3584,,,0.0323,,,1,,,16,,2,,0,,10,,2,,0,,0.4321
6月16日GitHub榜单 AI agent占了4个 NVIDIA亲自下场 +1079星最猛,2026年06月16日,1359,0.5715,,,,,0.3111,,,0.1336,,,21,,,54,,3,,0,,106,,5,,13,,0.6536
6月15日GitHub Trending：SkillSpector今日+962·AI审AI反直觉居首,2026年06月15日,1142,0.5181,,,,,0.2868,,,0.0728,,,7,,,25,,3,,0,,48,,2,,5,,0.4823
【第24周周榜】13项目4组分档，6个AI技能集体上榜，markitdown 15.3万星封王,2026年06月15日,1609,0.6093,,,,,0.2133,,,0.1216,,,16,,,58,,1,,0,,121,,6,,9,,0.4985
6月14日GitHub Trending：6个猛项目盘点，AI Agent占一半，还有工具把大模型推理延迟砍掉一大半,2026年06月14日,2204,0.6149,,,,,0.3274,,,0.1552,,,49,,,96,,2,,0,,199,,16,,29,,0.6173
上线4天就下架，国产GLM-5.2同日开源,2026年06月13日,2081,0.6562,,,,,0.3034,,,0.0177,,,1,,,23,,0,,0,,12,,0,,2,,0.3725
740→1的求职工程：开源项目Career-Ops如何用提示词即代码重塑AI求职,2026年06月13日,657,0.4507,,,,,0.3903,,,0.0732,,,2,,,12,,1,,0,,27,,0,,8,,0.3208
6月13日 GitHub 盘点：Apple 容器+3513星、PowerToys效率工具、LMCache推理加速等6项目,2026年06月13日,1175,0.5862,,,,,0.2512,,,0.0562,,,9,,,23,,1,,0,,37,,4,,1,,0.5815
一个AI自己拍的视频，讲开源🔥 9道工序连成流水线，65个组件搭出每一帧，4颗引擎之心盯紧每一步。,2026年06月12日,514,0.2735,,,,,0.4209,,,0.0447,,,0,,,9,,0,,0,,14,,0,,0,,0.5678
【深度】企业AI培训：成本砍2.5万倍，旧打法为什么集体翻车？,2026年06月12日,504,0.3474,,,,,0.3537,,,0.0377,,,0,,,5,,2,,0,,9,,0,,3,,0.2785
